Date,Country,AI_projects_fractional_count_based_on_contributions
2011,AUT,0.011282659213836478
2012,AUT,0.004048906046931408
2013,AUT,0.004244144199178645
2014,AUT,0.008880779289920725
2015,AUT,0.011228682749326147
2016,AUT,0.00613820722148541
2017,AUT,0.008120894024524445
2018,AUT,0.005687586049555273
2019,AUT,0.004919864792382967
2020,AUT,0.005930765704215806
2021,AUT,0.006193555143372769
2022,AUT,0.003188642102834542
2023,AUT,0.008021044636935393
2011,BEL,0.0018402516100628932
2012,BEL,0.0001264936080866426
2013,BEL,0.008255334197125257
2014,BEL,0.006174483799546999
2015,BEL,0.003429657061320755
2016,BEL,0.006696682456896552
2017,BEL,0.004028764614054394
2018,BEL,0.005627148960609911
2019,BEL,0.004954395665167945
2020,BEL,0.005189000191134607
2021,BEL,0.0054805277260878285
2022,BEL,0.005403014798945286
2023,BEL,0.004862443775871927
2011,BGR,0.006450361490566038
2012,BGR,0.00008827533996389891
2013,BGR,0.000495645401026694
2014,BGR,0.00132283557191393
2015,BGR,0.0013477088948787063
2016,BGR,0.000663129973474801
2017,BGR,0.0007609746627888697
2018,BGR,0.00043046539974587035
2019,BGR,0.0004764147550912457
2020,BGR,0.0005755982982242104
2021,BGR,0.00042735630318828957
2022,BGR,0.000494706608437706
2023,BGR,0.0020103098347627217
2011,BLR,0.012504463044025157
2012,BLR,0.00020167693
2014,BLR,0.000053562118187995476
2015,BLR,0.0003243666415768194
2016,BLR,0.00032780787639257293
2017,BLR,0.00013164385305769534
2018,BLR,0.00013063302426937737
2019,BLR,0.000029915194935202326
2020,BLR,0.00005454805111834079
2021,BLR,0.00010088249945859234
2022,BLR,0.0001308267267963085
2023,BLR,0.0000057603918296169244
2011,CAN,0.03650361239622641
2012,CAN,0.08660512851985559
2013,CAN,0.05550302227926078
2014,CAN,0.054080971370328426
2015,CAN,0.04754796609838275
2016,CAN,0.040344158090185676
2017,CAN,0.04561139904103128
2018,CAN,0.037513460088945356
2019,CAN,0.039085284448558584
2020,CAN,0.04170463719669242
2021,CAN,0.037193904030479244
2022,CAN,0.023384701018457483
2023,CAN,0.025043433790737566
2011,CHE,0.0219968416163522
2012,CHE,0.024769324043321297
2013,CHE,0.019807004593429156
2014,CHE,0.02375411327293318
2015,CHE,0.023857374663072778
2016,CHE,0.01533075527851459
2017,CHE,0.015323444359377457
2018,CHE,0.015784745311308766
2019,CHE,0.01861637019307062
2020,CHE,0.018468533618001895
2021,CHE,0.018283916206135956
2022,CHE,0.017441243691496376
2023,CHE,0.012115549639794169
2011,CYP,0.002209756927044025
2012,CYP,0.00040112314476534297
2016,CYP,0.0009616623338859416
2017,CYP,0.0007784407832101871
2018,CYP,0.00029780107242693776
2019,CYP,0.00019770945636075112
2020,CYP,0.00028555890158601054
2021,CYP,0.00007633711730499299
2023,CYP,0.00007146941109205261
2011,CZE,0.01850639202515723
2012,CZE,0.0021890372223826718
2013,CZE,0.0037474532648870637
2014,CZE,0.00322170524801812
2015,CZE,0.006945681381401617
2016,CZE,0.004978790805702918
2017,CZE,0.0034752549803490017
2018,CZE,0.0035812652337992375
2019,CZE,0.002318831110817244
2020,CZE,0.0040682945099634
2021,CZE,0.003192134882695007
2022,CZE,0.0016812105316413976
2023,CZE,0.00221032210806175
2011,DEU,0.09386288339622641
2012,DEU,0.06643161169675091
2013,DEU,0.061507689014373715
2014,DEU,0.05375448101925255
2015,DEU,0.05841964400943397
2016,DEU,0.062242567805039783
2017,DEU,0.0591645101870775
2018,DEU,0.05291967453621347
2019,DEU,0.056881305329277966
2020,DEU,0.055753771695811305
2021,DEU,0.055994402205734914
2022,DEU,0.05191753263019117
2023,DEU,0.044434883910806175
2011,DNK,0.00008063215610062893
2012,DNK,0.018358491906137184
2013,DNK,0.008871087190965092
2014,DNK,0.0026417960985277464
2015,DNK,0.004751229960916442
2016,DNK,0.0031729653942307694
2017,DNK,0.003728288646439239
2018,DNK,0.003959421625158831
2019,DNK,0.0030334853901084367
2020,DNK,0.004233107313270978
2021,DNK,0.005378505135351915
2022,DNK,0.00561403937046803
2023,DNK,0.0041585813807890224
2011,ESP,0.01219377059119497
2012,ESP,0.021652706989169677
2013,ESP,0.02766731616016427
2014,ESP,0.02700579959229898
2015,ESP,0.026620391846361183
2016,ESP,0.02375149502984085
2017,ESP,0.016570604700518785
2018,ESP,0.015598788983481576
2019,ESP,0.017214425310764347
2020,ESP,0.01612222105191812
2021,ESP,0.01500351986364548
2022,ESP,0.016049877247857613
2023,ESP,0.0172682554488279
2011,EU27,0.2617222254716981
2012,EU27,0.2683697196389892
2013,EU27,0.2507874595482546
2014,EU27,0.22389968493771234
2015,EU27,0.23014100808625335
2016,EU27,0.21334776624668436
2017,EU27,0.18568377314887596
2018,EU27,0.17275597217280814
2019,EU27,0.18266261121396457
2020,EU27,0.1896844781076318
2021,EU27,0.1846383213154201
2022,EU27,0.18264865342781805
2023,EU27,0.18287236838193255
2011,FRA,0.03447150841509434
2012,FRA,0.03388722253429603
2013,FRA,0.03439853016427105
2014,FRA,0.03269541404303511
2015,FRA,0.03475721510107817
2016,FRA,0.030652339406498672
2017,FRA,0.02675246847979877
2018,FRA,0.028843349631512073
2019,FRA,0.029540870722031206
2020,FRA,0.02485514253761692
2021,FRA,0.026904684239021454
2022,FRA,0.026612686466710615
2023,FRA,0.028216697724413955
