Date,Country,AI_projects_fractional_count_based_on_contributions
2011,AUT,0.0005104100012295082
2012,AUT,0.01041169215949367
2013,AUT,0.003419336670886076
2014,AUT,0.005640352491921005
2015,AUT,0.009258233569620253
2016,AUT,0.006222713767176562
2017,AUT,0.008135388162956055
2018,AUT,0.00523072643252062
2019,AUT,0.005549087558798283
2020,AUT,0.006710817905405405
2021,AUT,0.005337696962708538
2022,AUT,0.0071019592019331244
2023,AUT,0.0064967767433362
2011,BEL,0.0011991803524590164
2012,BEL,0.0025822784810126584
2013,BEL,0.003576386219936709
2014,BEL,0.005423343236983842
2015,BEL,0.005360223397468354
2016,BEL,0.007672946730619653
2017,BEL,0.002911419480125889
2018,BEL,0.005629067461252606
2019,BEL,0.005605671909012876
2020,BEL,0.005675882109522313
2021,BEL,0.005679907536800785
2022,BEL,0.006495687096394984
2023,BEL,0.004102172306534824
2011,BLR,0.008148400098360657
2015,BLR,0.0001996105160506329
2016,BLR,0.0002629034721285974
2017,BLR,0.0002131500896374869
2018,BLR,0.00044451062929393636
2019,BLR,0.00010461192025751073
2020,BLR,0.0000311177036062225
2021,BLR,0.0002944077139352306
2022,BLR,0.00013080141013584117
2023,BLR,0.00003477707184006879
2011,CHE,0.014139403516393444
2012,CHE,0.024571524837974684
2013,CHE,0.019847501503164555
2014,CHE,0.02085891671454219
2015,CHE,0.024919331630379744
2016,CHE,0.016632029051075966
2017,CHE,0.017094018743443292
2018,CHE,0.01485798637723194
2019,CHE,0.01655407094420601
2020,CHE,0.016625540328409804
2021,CHE,0.019563125387634935
2022,CHE,0.018653378591954026
2023,CHE,0.014150744398108341
2011,CYP,0.001439964554918033
2012,CYP,0.0028129395215189873
2014,CYP,0.0008976660682226212
2016,CYP,0.0005185377236193933
2017,CYP,0.00036571349108287677
2018,CYP,0.00048490755759992746
2019,CYP,0.00038034730369098713
2020,CYP,0.0004013080158705217
2021,CYP,0.00009909561040235525
2022,CYP,0.00026187803526645767
2023,CYP,0.000001143645177128117
2011,CZE,0.008044701918032787
2013,CZE,0.00006180775316455697
2014,CZE,0.0019846836921005384
2015,CZE,0.005096379929113924
2016,CZE,0.004857552745657246
2017,CZE,0.0033197962851148153
2018,CZE,0.0033188857518354027
2019,CZE,0.002109739958798283
2020,CZE,0.004018717527498428
2021,CZE,0.0037416961707556428
2022,CZE,0.002034138695141066
2023,CZE,0.003983109533533964
2011,DEU,0.07588985213114754
2012,DEU,0.06313760093670887
2013,DEU,0.05205232719936709
2014,DEU,0.06434992817773788
2015,DEU,0.05816000678481013
2016,DEU,0.06402350119263676
2017,DEU,0.06080351890663247
2018,DEU,0.05560993055379317
2019,DEU,0.05910795344206009
2020,DEU,0.05912047562853551
2021,DEU,0.0633330856329735
2022,DEU,0.061202024150992684
2023,DEU,0.06124360313843508
2011,DNK,0.00005254308532786885
2012,DNK,0.021990970969620254
2013,DNK,0.017659228639240507
2014,DNK,0.002926152463195691
2015,DNK,0.005701056906329114
2016,DNK,0.0031773465724656467
2017,DNK,0.004015931278703812
2018,DNK,0.003850777041602465
2019,DNK,0.0036965853879828326
2020,DNK,0.005091669192331867
2021,DNK,0.005347494173699705
2022,DNK,0.005497301735893417
2023,DNK,0.00642012233877902
2011,ESP,0.016728142077868855
2012,ESP,0.02331476865822785
2013,ESP,0.02831747862341772
2014,ESP,0.025714603087971275
2015,ESP,0.022681386658227845
2016,ESP,0.02223338272232305
2017,ESP,0.018230276454132183
2018,ESP,0.016392411701259855
2019,ESP,0.0176215482832618
2020,ESP,0.01453539384035198
2021,ESP,0.01658820477919529
2022,ESP,0.01598041922675026
2023,ESP,0.017001302295786756
2011,EU27,0.2788256222540984
2012,EU27,0.28638239898734175
2013,EU27,0.2682934397151899
2014,EU27,0.22820291481149013
2015,EU27,0.2281420830886076
2016,EU27,0.2235964187710656
2017,EU27,0.19551210991957105
2018,EU27,0.1770886863047222
2019,EU27,0.1977674512446352
2020,EU27,0.20894772855122562
2021,EU27,0.21433202737978407
2022,EU27,0.2129545489811912
2023,EU27,0.21057610561049014
2011,FRA,0.0751051168032787
2012,FRA,0.034740165898734174
2013,FRA,0.03626472678797468
2014,FRA,0.03245428307001796
2015,FRA,0.03438065946835443
2016,FRA,0.030953771402644544
2017,FRA,0.029800443921202936
2018,FRA,0.026304682180730538
2019,FRA,0.02838797949356223
2020,FRA,0.03094357099308611
2021,FRA,0.03483456977428852
2022,FRA,0.03358851317920585
2023,FRA,0.032623827858985384
2011,GBR,0.08439146737704918
2012,GBR,0.06034171941772152
2013,GBR,0.07090894248417721
2014,GBR,0.08712898132854578
2015,GBR,0.07987384156962025
2016,GBR,0.07583463176043556
2017,GBR,0.06308927899522088
2018,GBR,0.06833773000090637
2019,GBR,0.06680979031759657
2020,GBR,0.059618174465744814
2021,GBR,0.061649719793915606
2022,GBR,0.0561473671630094
2023,GBR,0.05446936496130697
2011,GRC,0.009242938709016393
2012,GRC,0.006771308017721519
2013,GRC,0.02111302901898734
2014,GRC,0.0055751326472172355
2015,GRC,0.005239432688607595
2016,GRC,0.0023245859136634688
2017,GRC,0.00258237350157361
2018,GRC,0.002204951325115562
2019,GRC,0.0036832431527897
2020,GRC,0.0038049337892834697
2021,GRC,0.005742185088321884
2022,GRC,0.005510972035005225
2023,GRC,0.0027019152407566638
2011,HUN,0.014744690176229508
2012,HUN,0.0004323931807594937
2013,HUN,0.0015822784810126582
2015,HUN,0.0005690994313924051
2016,HUN,0.0012398173326419498
2017,HUN,0.0013855242149434666
2018,HUN,0.0010847851418471857
2019,HUN,0.0015237894849785408
2020,HUN,0.0011177893785355123
2021,HUN,0.0008160825110893031
2022,HUN,0.0007876695028735633
2023,HUN,0.0015100599688306108
2011,ITA,0.00433634787704918
2012,ITA,0.012656246903797469
2013,ITA,0.01096335526107595
2014,ITA,0.01314282814183124
2015,ITA,0.012733015858227848
2016,ITA,0.014717525195747991
2017,ITA,0.011367535795547265
2018,ITA,0.01227547068793619
2019,ITA,0.016926253879828327
2020,ITA,0.01964655507542426
2021,ITA,0.022266816889106967
2022,ITA,0.025240820480668755
2023,ITA,0.0214419434372313
2011,LTU,0.00017076502733606556
2014,LTU,0.0002668736959605027
2015,LTU,0.003035981261772152
2016,LTU,0.001870707941664506
2017,LTU,0.0008274177188483506
2018,LTU,0.0005794061484636999
2019,LTU,0.0007792689327896996
2020,LTU,0.0008276329533312382
2021,LTU,0.0002810611116781158
2022,LTU,0.00014793356008359457
2023,LTU,0.0008092950279449699
2011,NLD,0.029817960086065576
2012,NLD,0.025117456149367088
2013,NLD,0.04148875257911393
2014,NLD,0.020566733644524236
2015,NLD,0.019561321979746835
2016,NLD,0.021547227606948403
2017,NLD,0.014980334397948481
2018,NLD,0.012537251835402882
2019,NLD,0.015526378875536482
2020,NLD,0.01790811231929604
2021,NLD,0.017342070814524043
2022,NLD,0.017142768743469174
2023,NLD,0.017851085550300946
2011,NOR,0.020606931200819672
2012,NOR,0.016104819010126583
2013,NOR,0.004245913109177215
2014,NOR,0.013361555484739676
2015,NOR,0.007951425681012658
2016,NOR,0.00455326883588281
2017,NOR,0.004809239107122042
2018,NOR,0.00468012206652769
2019,NOR,0.004175784203433476
2020,NOR,0.0036271122737272154
2021,NOR,0.004828024906771345
2022,NOR,0.0025901567515673983
2023,NOR,0.0011292601786328461
2011,POL,0.0008098674405737705
2012,POL,0.012449158017721519
2013,POL,0.007528177485759493
2014,POL,0.009509735134649911
2015,POL,0.013013390313924051
2016,POL,0.009549826551724138
2017,POL,0.007897309104790768
2018,POL,0.008012583544820085
2019,POL,0.007807043661802576
2020,POL,0.009327812280012572
2021,POL,0.006013870872423945
2022,POL,0.008292795719696969
2023,POL,0.008231865275150473
2011,PRT,0.00006983574631147541
2012,PRT,0.0016882220270886075
2013,PRT,0.0031686245158227848
2014,PRT,0.008419501669658887
2015,PRT,0.002997317430379747
2016,PRT,0.003479581371532279
2017,PRT,0.0036325852243851266
2018,PRT,0.003020494420375238
2019,PRT,0.004305897344206009
2020,PRT,0.0034512047093023255
2021,PRT,0.004167766538763494
2022,PRT,0.0025582331726750262
2023,PRT,0.005927473673688737
2011,SWE,0.02017150300409836
2012,SWE,0.030094371999999998
2013,SWE,0.018457507056962027
2014,SWE,0.012184904712746858
2015,SWE,0.008984377118987343
2016,SWE,0.010925334003111227
2017,SWE,0.007017860874227765
2018,SWE,0.00520198008610532
2019,SWE,0.008267186004291846
2020,SWE,0.008077304054054053
2021,SWE,0.008107101252208046
2022,SWE,0.006168012280564263
2023,SWE,0.007013249062768703
2011,UKR,0.016835357622950818
2012,UKR,0.010126582278481013
2013,UKR,0.0036720723844936706
2014,UKR,0.0009000921804308797
2015,UKR,0.0029939829174683544
2016,UKR,0.004029406297640654
2017,UKR,0.0047145494684695186
2018,UKR,0.004393565102873199
2019,UKR,0.0024526929253218884
2020,UKR,0.0027567060873664364
2021,UKR,0.0024041554357212957
2022,UKR,0.004050914417450366
2023,UKR,0.006405270861994841
2011,BGR,0.004098360655737705
2012,BGR,0.0025935500481012656
2013,BGR,0.0019642077689873416
2014,BGR,0.0009173835664272891
2015,BGR,0.0010126582278481013
2016,BGR,0.0012968787993259008
2017,BGR,0.0005905789560554844
2018,BGR,0.0007520593244811022
2019,BGR,0.000820985761974249
2020,BGR,0.0007112468919704589
2021,BGR,0.0005048625862610402
2022,BGR,0.0007051815862068966
2023,BGR,0.0008653850943680138
2011,IRL,0.012295081967213115
2012,IRL,0.020329881088607598
2013,IRL,0.004537790998417722
2014,IRL,0.006150685015260323
2015,IRL,0.004655156048101266
2016,IRL,0.004847173424941665
2017,IRL,0.005478126531064227
2018,IRL,0.004771886641892505
2019,IRL,0.00406312039914163
2020,IRL,0.005893684747800126
2021,IRL,0.0054049931992149166
2022,IRL,0.0030568201802507835
2023,IRL,0.002749556382201204
,,
2012,ISL,0.0005625879043037975
2015,ISL,0.0005015552389367088
2016,ISL,2.9362271998962927e-7
2017,ISL,0.0003351206434316354
2018,ISL,0.00027191153811293394
2019,ISL,0.00010678478240343348
2020,ISL,0.0004806211614550597
2021,ISL,0.00022203523238469087
2022,ISL,0.000135221579153605
2023,ISL,0.0002524942336629407
2011,SRB,0.004098360655737705
2012,SRB,0.0001687763713164557
2014,SRB,0.0007319196876122082
2015,SRB,0.0005491140222784811
2016,SRB,0.0007484706204303863
2017,SRB,0.0023617081373120408
2018,SRB,0.0008505516646424363
2019,SRB,0.001643629088412017
2020,SRB,0.002144754024198617
2021,SRB,0.0013402096123650638
2022,SRB,0.0009748234322100314
2023,SRB,0.00022795643443680142
,,
2012,SVN,0.000004705660908860759
2013,SVN,0.004746835443037975
2014,SVN,0.0009118025412926392
2015,SVN,0.0013808975832911392
2016,SVN,0.0010331497498055483
2017,SVN,0.0007108863202004896
2018,SVN,0.0004895943921870751
2019,SVN,0.001038168460944206
2020,SVN,0.0013018904242614708
2021,SVN,0.0006548245667320903
2022,SVN,0.0017162556674503657
2023,SVN,0.0018333248149183148
,,
2012,TUR,0.0013496942703797468
2013,TUR,0.002445339469936709
2014,TUR,0.004724124026929982
2015,TUR,0.002894331434936709
2016,TUR,0.0038941239538501427
2017,TUR,0.004803393475929596
2018,TUR,0.00849696609353757
2019,TUR,0.011075846085836909
2020,TUR,0.01662440639534884
2021,TUR,0.017871334210009814
2022,TUR,0.019713292045454543
2023,TUR,0.015481191044711953
,,
2013,MNE,0.0017269990743670886
2014,MNE,0.003402715195691203
2015,MNE,0.000018449841351898733
2016,MNE,0.0007596244093855328
2017,MNE,0.0014511788600069938
2018,MNE,0.0007425941049578538
