Country,Country_label,INDUSTRY,STAGE,Sum_of_deals,Year
ALL,-- All countries --,Other,VC,946.7111605,2012
ALL,-- All countries --,Other,VC,1396.019576,2013
ALL,-- All countries --,Other,VC,2238.991074,2014
ALL,-- All countries --,Other,VC,3855.414062,2015
ALL,-- All countries --,Other,VC,5354.2853775,2016
ALL,-- All countries --,Other,VC,9219.2603715,2017
ALL,-- All countries --,Other,VC,13628.9204765,2018
ALL,-- All countries --,Other,VC,18609.9758835,2019
ALL,-- All countries --,Other,VC,20263.6897845,2020
ALL,-- All countries --,Other,VC,52703.7474265,2021
ALL,-- All countries --,Other,VC,31315.102423,2022
ALL,-- All countries --,Other,VC,14683.7262255,2023
ALL,-- All countries --,Other,VC,14112.105167,2024
ALL,-- All countries --,Other,VC,13041.3964575,2025
ALL,-- All countries --,IT infrastructure and hosting,VC,1266.6130855,2012
ALL,-- All countries --,IT infrastructure and hosting,VC,2393.395375,2013
ALL,-- All countries --,IT infrastructure and hosting,VC,3816.6226065,2014
ALL,-- All countries --,IT infrastructure and hosting,VC,4208.8162365,2015
ALL,-- All countries --,IT infrastructure and hosting,VC,3475.293193,2016
ALL,-- All countries --,IT infrastructure and hosting,VC,4501.838776,2017
ALL,-- All countries --,IT infrastructure and hosting,VC,8414.4519575,2018
ALL,-- All countries --,IT infrastructure and hosting,VC,6181.585668,2019
ALL,-- All countries --,IT infrastructure and hosting,VC,7736.5516959999995,2020
ALL,-- All countries --,IT infrastructure and hosting,VC,18738.440174,2021
ALL,-- All countries --,IT infrastructure and hosting,VC,15447.34022,2022
ALL,-- All countries --,IT infrastructure and hosting,VC,18544.9084235,2023
ALL,-- All countries --,IT infrastructure and hosting,VC,45033.5493775,2024
ALL,-- All countries --,IT infrastructure and hosting,VC,56141.8554805,2025
ALL,-- All countries --,Mobility and autonomous vehicles,VC,243.367492,2012
ALL,-- All countries --,Mobility and autonomous vehicles,VC,419.3159165,2013
ALL,-- All countries --,Mobility and autonomous vehicles,VC,4654.595628,2014
ALL,-- All countries --,Mobility and autonomous vehicles,VC,9830.702305,2015
ALL,-- All countries --,Mobility and autonomous vehicles,VC,12192.3087525,2016
ALL,-- All countries --,Mobility and autonomous vehicles,VC,18989.245776,2017
ALL,-- All countries --,Mobility and autonomous vehicles,VC,12491.1444305,2018
ALL,-- All countries --,Mobility and autonomous vehicles,VC,15829.244481,2019
ALL,-- All countries --,Mobility and autonomous vehicles,VC,22131.3432205,2020
ALL,-- All countries --,Mobility and autonomous vehicles,VC,37123.0954235,2021
ALL,-- All countries --,Mobility and autonomous vehicles,VC,12418.221761,2022
ALL,-- All countries --,Mobility and autonomous vehicles,VC,12594.184997,2023
ALL,-- All countries --,Mobility and autonomous vehicles,VC,13742.8757,2024
ALL,-- All countries --,Mobility and autonomous vehicles,VC,4457.375405,2025
ALL,-- All countries --,Media, social platforms and marketing,VC,967.1906935,2012
ALL,-- All countries --,Media, social platforms and marketing,VC,1270.6978075,2013
ALL,-- All countries --,Media, social platforms and marketing,VC,3565.8076635,2014
ALL,-- All countries --,Media, social platforms and marketing,VC,4456.496051,2015
ALL,-- All countries --,Media, social platforms and marketing,VC,3210.740389,2016
ALL,-- All countries --,Media, social platforms and marketing,VC,8222.218689,2017
ALL,-- All countries --,Media, social platforms and marketing,VC,10691.834089,2018
ALL,-- All countries --,Media, social platforms and marketing,VC,8669.8399095,2019
ALL,-- All countries --,Media, social platforms and marketing,VC,6999.761762,2020
ALL,-- All countries --,Media, social platforms and marketing,VC,20197.110253,2021
ALL,-- All countries --,Media, social platforms and marketing,VC,13315.7087105,2022
ALL,-- All countries --,Media, social platforms and marketing,VC,16020.707391,2023
ALL,-- All countries --,Media, social platforms and marketing,VC,16059.7795165,2024
ALL,-- All countries --,Media, social platforms and marketing,VC,28147.832910499998,2025
ALL,-- All countries --,Healthcare, drugs and biotechnology,VC,491.777134,2012
ALL,-- All countries --,Healthcare, drugs and biotechnology,VC,759.11612,2013
ALL,-- All countries --,Healthcare, drugs and biotechnology,VC,2015.4357425,2014
ALL,-- All countries --,Healthcare, drugs and biotechnology,VC,3249.7341235,2015
ALL,-- All countries --,Healthcare, drugs and biotechnology,VC,3418.412918,2016
ALL,-- All countries --,Healthcare, drugs and biotechnology,VC,7756.210385,2017
ALL,-- All countries --,Healthcare, drugs and biotechnology,VC,8025.3391105,2018
ALL,-- All countries --,Healthcare, drugs and biotechnology,VC,7915.2013975,2019
ALL,-- All countries --,Healthcare, drugs and biotechnology,VC,15776.7977615,2020
ALL,-- All countries --,Healthcare, drugs and biotechnology,VC,24015.2656295,2021
ALL,-- All countries --,Healthcare, drugs and biotechnology,VC,16031.601336,2022
ALL,-- All countries --,Healthcare, drugs and biotechnology,VC,11829.2116065,2023
ALL,-- All countries --,Healthcare, drugs and biotechnology,VC,11852.1553,2024
