Country destination,Country destination_label,Country source,Country source_label,Sum_of_deals,year
CAN,Canada,USA,United States,37,2012
CHN,China (People's Republic of),USA,United States,8,2012
DEU,Germany,USA,United States,2,2012
EU27,EU27,USA,United States,44,2012
FRA,France,USA,United States,25,2012
GBR,United Kingdom,USA,United States,53,2012
IND,India,USA,United States,92,2012
ISR,Israel,USA,United States,103,2012
KOR,Korea,USA,United States,1,2012
USA,United States,USA,United States,3597,2012
CAN,Canada,USA,United States,49,2013
CHN,China (People's Republic of),USA,United States,85,2013
DEU,Germany,USA,United States,12,2013
EU27,EU27,USA,United States,40,2013
FRA,France,USA,United States,2,2013
GBR,United Kingdom,USA,United States,56,2013
IND,India,USA,United States,31,2013
ISR,Israel,USA,United States,33,2013
KOR,Korea,USA,United States,0,2013
USA,United States,USA,United States,5378,2013
CAN,Canada,USA,United States,110,2014
CHN,China (People's Republic of),USA,United States,587,2014
DEU,Germany,USA,United States,15,2014
EU27,EU27,USA,United States,180,2014
FRA,France,USA,United States,17,2014
GBR,United Kingdom,USA,United States,52,2014
IND,India,USA,United States,93,2014
ISR,Israel,USA,United States,129,2014
KOR,Korea,USA,United States,44,2014
USA,United States,USA,United States,12695,2014
CAN,Canada,USA,United States,142,2015
CHN,China (People's Republic of),USA,United States,2574,2015
DEU,Germany,USA,United States,287,2015
EU27,EU27,USA,United States,491,2015
FRA,France,USA,United States,21,2015
GBR,United Kingdom,USA,United States,197,2015
IND,India,USA,United States,275,2015
ISR,Israel,USA,United States,173,2015
KOR,Korea,USA,United States,20,2015
USA,United States,USA,United States,13657,2015
CAN,Canada,USA,United States,304,2016
CHN,China (People's Republic of),USA,United States,1993,2016
DEU,Germany,USA,United States,49,2016
EU27,EU27,USA,United States,227,2016
FRA,France,USA,United States,23,2016
GBR,United Kingdom,USA,United States,225,2016
IND,India,USA,United States,106,2016
ISR,Israel,USA,United States,240,2016
KOR,Korea,USA,United States,8,2016
USA,United States,USA,United States,11001,2016
CAN,Canada,USA,United States,237,2017
CHN,China (People's Republic of),USA,United States,6834,2017
DEU,Germany,USA,United States,122,2017
EU27,EU27,USA,United States,457,2017
FRA,France,USA,United States,40,2017
GBR,United Kingdom,USA,United States,416,2017
IND,India,USA,United States,144,2017
ISR,Israel,USA,United States,338,2017
KOR,Korea,USA,United States,160,2017
USA,United States,USA,United States,16903,2017
KOR,Korea,USA,United States,211,2018
USA,United States,USA,United States,22291,2018
ISR,Israel,USA,United States,404,2018
IND,India,USA,United States,358,2018
