Country destination,Country destination_label,Country source,Country source_label,Sum_of_deals,year
Business processes and support services,Business processes and support services,USA,United States,562.1955433333333,2012
Digital security,Digital security,USA,United States,504.84401399999996,2012
Financial and insurance services,Financial and insurance services,USA,United States,194.43666666666667,2012
Healthcare, drugs and biotechnology,Healthcare, drugs and biotechnology,USA,United States,141.49333333333334,2012
IT infrastructure and hosting,IT infrastructure and hosting,USA,United States,922.9782235,2012
Logistics, wholesale and retail,Logistics, wholesale and retail,USA,United States,25.4997165,2012
Media, social platforms and marketing,Media, social platforms and marketing,USA,United States,562.533513,2012
Mobility and autonomous vehicles,Mobility and autonomous vehicles,USA,United States,92.458567,2012
Other,Other,USA,United States,631.689391,2012
Robots, sensors and IT hardware,Robots, sensors and IT hardware,USA,United States,85.020299,2012
Business processes and support services,Business processes and support services,USA,United States,578.5862863333333,2013
Digital security,Digital security,USA,United States,292.2283333333333,2013
Financial and insurance services,Financial and insurance services,USA,United States,264.2426675,2013
Healthcare, drugs and biotechnology,Healthcare, drugs and biotechnology,USA,United States,430.5310401666666,2013
IT infrastructure and hosting,IT infrastructure and hosting,USA,United States,1634.1363606666666,2013
Logistics, wholesale and retail,Logistics, wholesale and retail,USA,United States,23.493995833333333,2013
Media, social platforms and marketing,Media, social platforms and marketing,USA,United States,769.0880228333333,2013
Mobility and autonomous vehicles,Mobility and autonomous vehicles,USA,United States,346.50000000000006,2013
Other,Other,USA,United States,768.8617700833333,2013
Robots, sensors and IT hardware,Robots, sensors and IT hardware,USA,United States,33.94,2013
Business processes and support services,Business processes and support services,USA,United States,1856.3140865,2014
Digital security,Digital security,USA,United States,727.4248540000001,2014
Financial and insurance services,Financial and insurance services,USA,United States,1539.4686253333332,2014
Healthcare, drugs and biotechnology,Healthcare, drugs and biotechnology,USA,United States,929.8762986666666,2014
IT infrastructure and hosting,IT infrastructure and hosting,USA,United States,2089.362881,2014
Logistics, wholesale and retail,Logistics, wholesale and retail,USA,United States,546.7810413333333,2014
Media, social platforms and marketing,Media, social platforms and marketing,USA,United States,1715.8529086666667,2014
Mobility and autonomous vehicles,Mobility and autonomous vehicles,USA,United States,2342.380292916667,2014
Other,Other,USA,United States,1383.3940379166668,2014
Robots, sensors and IT hardware,Robots, sensors and IT hardware,USA,United States,154.42486283333332,2014
Business processes and support services,Business processes and support services,USA,United States,1725.4404104166667,2015
Digital security,Digital security,USA,United States,1404.0381495833333,2015
Financial and insurance services,Financial and insurance services,USA,United States,2982.028053833333,2015
Healthcare, drugs and biotechnology,Healthcare, drugs and biotechnology,USA,United States,1348.83832475,2015
IT infrastructure and hosting,IT infrastructure and hosting,USA,United States,1773.6760303333333,2015
Logistics, wholesale and retail,Logistics, wholesale and retail,USA,United States,542.3830671666667,2015
Media, social platforms and marketing,Media, social platforms and marketing,USA,United States,1879.2153325,2015
