Country,Country_label,INDUSTRY,STAGE,Sum_of_deals,Year
EU27,EU27,IT infrastructure and hosting,VC,34.573431,2012
EU27,EU27,IT infrastructure and hosting,VC,75.176362,2013
EU27,EU27,IT infrastructure and hosting,VC,52.2536865,2014
EU27,EU27,IT infrastructure and hosting,VC,122.1253335,2015
EU27,EU27,IT infrastructure and hosting,VC,83.424577,2016
EU27,EU27,IT infrastructure and hosting,VC,192.44913,2017
EU27,EU27,IT infrastructure and hosting,VC,220.0037105,2018
EU27,EU27,IT infrastructure and hosting,VC,203.180286,2019
EU27,EU27,IT infrastructure and hosting,VC,206.648892,2020
EU27,EU27,IT infrastructure and hosting,VC,844.365098,2021
EU27,EU27,IT infrastructure and hosting,VC,1618.3785445,2022
EU27,EU27,IT infrastructure and hosting,VC,1211.322075,2023
EU27,EU27,IT infrastructure and hosting,VC,2419.1271755,2024
EU27,EU27,IT infrastructure and hosting,VC,3710.8081644999997,2025
FRA,France,IT infrastructure and hosting,VC,20.065641999999997,2012
FRA,France,IT infrastructure and hosting,VC,9.205242,2013
FRA,France,IT infrastructure and hosting,VC,14.286612,2014
FRA,France,IT infrastructure and hosting,VC,11.505247,2015
FRA,France,IT infrastructure and hosting,VC,9.583432,2016
FRA,France,IT infrastructure and hosting,VC,7.382709999999999,2017
FRA,France,IT infrastructure and hosting,VC,32.440315,2018
FRA,France,IT infrastructure and hosting,VC,28.437703,2019
FRA,France,IT infrastructure and hosting,VC,19.1522625,2020
FRA,France,IT infrastructure and hosting,VC,98.335232,2021
FRA,France,IT infrastructure and hosting,VC,206.73632,2022
FRA,France,IT infrastructure and hosting,VC,660.610044,2023
FRA,France,IT infrastructure and hosting,VC,938.7934065000001,2024
FRA,France,IT infrastructure and hosting,VC,2119.5593519999998,2025
GBR,United Kingdom,IT infrastructure and hosting,VC,82.12310749999999,2012
GBR,United Kingdom,IT infrastructure and hosting,VC,23.6632615,2013
GBR,United Kingdom,IT infrastructure and hosting,VC,14.612178499999999,2014
GBR,United Kingdom,IT infrastructure and hosting,VC,31.206174,2015
GBR,United Kingdom,IT infrastructure and hosting,VC,24.184917,2016
GBR,United Kingdom,IT infrastructure and hosting,VC,14.191952,2017
GBR,United Kingdom,IT infrastructure and hosting,VC,45.739217000000004,2018
GBR,United Kingdom,IT infrastructure and hosting,VC,65.2123095,2019
GBR,United Kingdom,IT infrastructure and hosting,VC,85.366512,2020
GBR,United Kingdom,IT infrastructure and hosting,VC,547.0717205,2021
GBR,United Kingdom,IT infrastructure and hosting,VC,454.2056885,2022
GBR,United Kingdom,IT infrastructure and hosting,VC,178.9088575,2023
GBR,United Kingdom,IT infrastructure and hosting,VC,573.846295,2024
GBR,United Kingdom,IT infrastructure and hosting,VC,617.891982,2025
DEU,Germany,IT infrastructure and hosting,VC,5.3219389999999995,2012
DEU,Germany,IT infrastructure and hosting,VC,14,2013
DEU,Germany,IT infrastructure and hosting,VC,15.017052,2014
DEU,Germany,IT infrastructure and hosting,VC,29.92805,2015
DEU,Germany,IT infrastructure and hosting,VC,28,2016
DEU,Germany,IT infrastructure and hosting,VC,46.5855785,2017
DEU,Germany,IT infrastructure and hosting,VC,60.176728499999996,2018
DEU,Germany,IT infrastructure and hosting,VC,6.851338,2019
DEU,Germany,IT infrastructure and hosting,VC,17.766304,2020
DEU,Germany,IT infrastructure and hosting,VC,220.6235965,2021
DEU,Germany,IT infrastructure and hosting,VC,375.8225805,2022
DEU,Germany,IT infrastructure and hosting,VC,243.2657265,2023
DEU,Germany,IT infrastructure and hosting,VC,716.6139615,2024
DEU,Germany,IT infrastructure and hosting,VC,294.142725,2025
CHE,Switzerland,IT infrastructure and hosting,VC,7,2012
CHE,Switzerland,IT infrastructure and hosting,VC,16.5,2013
CHE,Switzerland,IT infrastructure and hosting,VC,17.5,2014
CHE,Switzerland,IT infrastructure and hosting,VC,0.903999,2015
CHE,Switzerland,IT infrastructure and hosting,VC,43.282268,2016
CHE,Switzerland,IT infrastructure and hosting,VC,57.448388,2017
CHE,Switzerland,IT infrastructure and hosting,VC,100.3924215,2018
CHE,Switzerland,IT infrastructure and hosting,VC,61.786920499999994,2019
CHE,Switzerland,IT infrastructure and hosting,VC,117.779592,2020
CHE,Switzerland,IT infrastructure and hosting,VC,321.5482235,2021
CHE,Switzerland,IT infrastructure and hosting,VC,195.493369,2022
CHE,Switzerland,IT infrastructure and hosting,VC,43.953532,2023
CHE,Switzerland,IT infrastructure and hosting,VC,82.88568550000001,2024
CHE,Switzerland,IT infrastructure and hosting,VC,328.630033,2025
ESP,Spain,IT infrastructure and hosting,VC,0.6476235,2013
ESP,Spain,IT infrastructure and hosting,VC,0.536896,2014
ESP,Spain,IT infrastructure and hosting,VC,1.6136655,2015
ESP,Spain,IT infrastructure and hosting,VC,10.165029,2016
ESP,Spain,IT infrastructure and hosting,VC,8.358923,2017
ESP,Spain,IT infrastructure and hosting,VC,77.251794,2018
ESP,Spain,IT infrastructure and hosting,VC,71.412856,2019
ESP,Spain,IT infrastructure and hosting,VC,1.954777,2020
ESP,Spain,IT infrastructure and hosting,VC,27.697922000000002,2021
ESP,Spain,IT infrastructure and hosting,VC,134.23478,2022
ESP,Spain,IT infrastructure and hosting,VC,56.816461,2023
ESP,Spain,IT infrastructure and hosting,VC,204.926571,2024
ESP,Spain,IT infrastructure and hosting,VC,498.948031,2025
FIN,Finland,IT infrastructure and hosting,VC,6.5,2012
FIN,Finland,IT infrastructure and hosting,VC,21.29072,2013
FIN,Finland,IT infrastructure and hosting,VC,15.246125,2014
FIN,Finland,IT infrastructure and hosting,VC,7.119357,2015
FIN,Finland,IT infrastructure and hosting,VC,16.439926,2016
FIN,Finland,IT infrastructure and hosting,VC,2.3175179999999997,2017
FIN,Finland,IT infrastructure and hosting,VC,20.090674999999997,2019
FIN,Finland,IT infrastructure and hosting,VC,93.402065,2020
FIN,Finland,IT infrastructure and hosting,VC,220.57037,2021
FIN,Finland,IT infrastructure and hosting,VC,219.8158045,2022
FIN,Finland,IT infrastructure and hosting,VC,9.9722,2023
FIN,Finland,IT infrastructure and hosting,VC,52.869156,2024
FIN,Finland,IT infrastructure and hosting,VC,19.6281955,2025
AUT,Austria,IT infrastructure and hosting,VC,63.649153,2015
AUT,Austria,IT infrastructure and hosting,VC,84.529262,2017
AUT,Austria,IT infrastructure and hosting,VC,25.06,2019
AUT,Austria,IT infrastructure and hosting,VC,1.328054,2020
AUT,Austria,IT infrastructure and hosting,VC,294.780689,2022
AUT,Austria,IT infrastructure and hosting,VC,26.131026,2023
AUT,Austria,IT infrastructure and hosting,VC,21.151635,2024
AUT,Austria,IT infrastructure and hosting,VC,27.500153,2025
NLD,Netherlands,IT infrastructure and hosting,VC,0.106094,2012
NLD,Netherlands,IT infrastructure and hosting,VC,2.9758459999999998,2013
NLD,Netherlands,IT infrastructure and hosting,VC,4.5142235,2014
NLD,Netherlands,IT infrastructure and hosting,VC,10.939457,2016
NLD,Netherlands,IT infrastructure and hosting,VC,0.5,2018
NLD,Netherlands,IT infrastructure and hosting,VC,8.9240025,2019
NLD,Netherlands,IT infrastructure and hosting,VC,25.353689999999997,2020
NLD,Netherlands,IT infrastructure and hosting,VC,66.035974,2021
NLD,Netherlands,IT infrastructure and hosting,VC,47.172191,2022
NLD,Netherlands,IT infrastructure and hosting,VC,87.65137,2023
NLD,Netherlands,IT infrastructure and hosting,VC,60.110267,2024
NLD,Netherlands,IT infrastructure and hosting,VC,178.618592,2025
SWE,Sweden,IT infrastructure and hosting,VC,12.4,2013
SWE,Sweden,IT infrastructure and hosting,VC,0.813385,2015
SWE,Sweden,IT infrastructure and hosting,VC,1.164165,2017
SWE,Sweden,IT infrastructure and hosting,VC,32.630324,2018
SWE,Sweden,IT infrastructure and hosting,VC,4.338235,2019
SWE,Sweden,IT infrastructure and hosting,VC,2.304731,2020
SWE,Sweden,IT infrastructure and hosting,VC,23.831811000000002,2021
SWE,Sweden,IT infrastructure and hosting,VC,21.258177,2022
SWE,Sweden,IT infrastructure and hosting,VC,31.8824635,2023
SWE,Sweden,IT infrastructure and hosting,VC,46.5756205,2024
SWE,Sweden,IT infrastructure and hosting,VC,278.3978695,2025
IRL,Ireland,IT infrastructure and hosting,VC,1.921565,2016
IRL,Ireland,IT infrastructure and hosting,VC,0.889324,2017
IRL,Ireland,IT infrastructure and hosting,VC,2.863403,2018
IRL,Ireland,IT infrastructure and hosting,VC,15.12,2019
IRL,Ireland,IT infrastructure and hosting,VC,5.324409,2020
IRL,Ireland,IT infrastructure and hosting,VC,43.028955,2021
IRL,Ireland,IT infrastructure and hosting,VC,93.176112,2022
IRL,Ireland,IT infrastructure and hosting,VC,4.562126,2023
IRL,Ireland,IT infrastructure and hosting,VC,73.422353,2024
IRL,Ireland,IT infrastructure and hosting,VC,173.5169955,2025
NOR,Norway,IT infrastructure and hosting,VC,14.957093,2017
NOR,Norway,IT infrastructure and hosting,VC,27.616030000000002,2018
NOR,Norway,IT infrastructure and hosting,VC,35.615505,2019
NOR,Norway,IT infrastructure and hosting,VC,10.114294000000001,2020
NOR,Norway,IT infrastructure and hosting,VC,28.511045,2021
NOR,Norway,IT infrastructure and hosting,VC,85.93751900000001,2022
NOR,Norway,IT infrastructure and hosting,VC,46.974646,2023
NOR,Norway,IT infrastructure and hosting,VC,73.197532,2024
NOR,Norway,IT infrastructure and hosting,VC,7.60278,2025
ITA,Italy,IT infrastructure and hosting,VC,1.938107,2012
ITA,Italy,IT infrastructure and hosting,VC,1.288413,2013
ITA,Italy,IT infrastructure and hosting,VC,1.5,2014
ITA,Italy,IT infrastructure and hosting,VC,1.112716,2017
ITA,Italy,IT infrastructure and hosting,VC,5.0684225000000005,2020
ITA,Italy,IT infrastructure and hosting,VC,54.9904515,2021
ITA,Italy,IT infrastructure and hosting,VC,59.965101,2022
ITA,Italy,IT infrastructure and hosting,VC,40.050563,2023
ITA,Italy,IT infrastructure and hosting,VC,40.49283,2024
ITA,Italy,IT infrastructure and hosting,VC,29.138976,2025
BEL,Belgium,IT infrastructure and hosting,VC,0.270816,2012
BEL,Belgium,IT infrastructure and hosting,VC,0.643623,2013
BEL,Belgium,IT infrastructure and hosting,VC,0.673341,2014
BEL,Belgium,IT infrastructure and hosting,VC,7.2,2015
BEL,Belgium,IT infrastructure and hosting,VC,3.380585,2016
BEL,Belgium,IT infrastructure and hosting,VC,33.565428,2017
BEL,Belgium,IT infrastructure and hosting,VC,2.661105,2018
BEL,Belgium,IT infrastructure and hosting,VC,4.257734,2019
BEL,Belgium,IT infrastructure and hosting,VC,7.533223,2020
BEL,Belgium,IT infrastructure and hosting,VC,31.205674000000002,2021
BEL,Belgium,IT infrastructure and hosting,VC,29.793304,2022
BEL,Belgium,IT infrastructure and hosting,VC,8.291582,2023
BEL,Belgium,IT infrastructure and hosting,VC,59.506307,2024
BEL,Belgium,IT infrastructure and hosting,VC,9.948791,2025
DNK,Denmark,IT infrastructure and hosting,VC,1.8901565,2013
DNK,Denmark,IT infrastructure and hosting,VC,1.900085,2017
DNK,Denmark,IT infrastructure and hosting,VC,3.746798,2019
DNK,Denmark,IT infrastructure and hosting,VC,22.127302,2021
DNK,Denmark,IT infrastructure and hosting,VC,17.545199,2022
DNK,Denmark,IT infrastructure and hosting,VC,9.844204999999999,2023
DNK,Denmark,IT infrastructure and hosting,VC,24.415982,2024
DNK,Denmark,IT infrastructure and hosting,VC,40.943732,2025
HRV,Croatia,IT infrastructure and hosting,VC,0.6,2013
HRV,Croatia,IT infrastructure and hosting,VC,0.21,2014
HRV,Croatia,IT infrastructure and hosting,VC,1.434714,2021
HRV,Croatia,IT infrastructure and hosting,VC,0.55,2023
HRV,Croatia,IT infrastructure and hosting,VC,108.335074,2024
HRV,Croatia,IT infrastructure and hosting,VC,0,2025
EST,Estonia,IT infrastructure and hosting,VC,10,2013
EST,Estonia,IT infrastructure and hosting,VC,0.2751285,2017
EST,Estonia,IT infrastructure and hosting,VC,0.472447,2018
EST,Estonia,IT infrastructure and hosting,VC,2.643089,2019
EST,Estonia,IT infrastructure and hosting,VC,5.4,2020
EST,Estonia,IT infrastructure and hosting,VC,9.890368,2021
EST,Estonia,IT infrastructure and hosting,VC,47.8970595,2022
EST,Estonia,IT infrastructure and hosting,VC,2.5752059999999997,2023
EST,Estonia,IT infrastructure and hosting,VC,10.669098,2024
EST,Estonia,IT infrastructure and hosting,VC,0.859139,2025
PRT,Portugal,IT infrastructure and hosting,VC,0.40404,2018
PRT,Portugal,IT infrastructure and hosting,VC,0.326361,2019
PRT,Portugal,IT infrastructure and hosting,VC,1.255326,2020
PRT,Portugal,IT infrastructure and hosting,VC,2.283996,2021
PRT,Portugal,IT infrastructure and hosting,VC,17.139057,2022
PRT,Portugal,IT infrastructure and hosting,VC,7.256343,2023
PRT,Portugal,IT infrastructure and hosting,VC,52.570952,2024
PRT,Portugal,IT infrastructure and hosting,VC,3.226637,2025
LUX,Luxembourg,IT infrastructure and hosting,VC,0.370833,2012
LUX,Luxembourg,IT infrastructure and hosting,VC,0.234738,2013
LUX,Luxembourg,IT infrastructure and hosting,VC,0.269437,2014
LUX,Luxembourg,IT infrastructure and hosting,VC,0.296476,2015
LUX,Luxembourg,IT infrastructure and hosting,VC,2.994583,2016
LUX,Luxembourg,IT infrastructure and hosting,VC,1.994603,2017
LUX,Luxembourg,IT infrastructure and hosting,VC,0.057545,2019
LUX,Luxembourg,IT infrastructure and hosting,VC,10.094768,2020
LUX,Luxembourg,IT infrastructure and hosting,VC,18.870514,2022
LUX,Luxembourg,IT infrastructure and hosting,VC,11.895621,2023
LUX,Luxembourg,IT infrastructure and hosting,VC,8.699033,2025
TUR,Türkiye,IT infrastructure and hosting,VC,4.3,2016
TUR,Türkiye,IT infrastructure and hosting,VC,4.2,2017
TUR,Türkiye,IT infrastructure and hosting,VC,1,2018
TUR,Türkiye,IT infrastructure and hosting,VC,5.390000000000001,2021
TUR,Türkiye,IT infrastructure and hosting,VC,1.05,2022
TUR,Türkiye,IT infrastructure and hosting,VC,1.5,2023
TUR,Türkiye,IT infrastructure and hosting,VC,20.701358,2025
