Country,Country_label,INDUSTRY,STAGE,Sum_of_deals,Year
EU27,EU27,Energy, raw materials and utilities,VC,10.95068,2012
EU27,EU27,Energy, raw materials and utilities,VC,2.616002,2013
EU27,EU27,Energy, raw materials and utilities,VC,2.2831,2014
EU27,EU27,Energy, raw materials and utilities,VC,1.1688619999999998,2015
EU27,EU27,Energy, raw materials and utilities,VC,3.097464,2016
EU27,EU27,Energy, raw materials and utilities,VC,12.256753,2017
EU27,EU27,Energy, raw materials and utilities,VC,29.8519945,2018
EU27,EU27,Energy, raw materials and utilities,VC,20.048196,2019
EU27,EU27,Energy, raw materials and utilities,VC,6.35049,2020
EU27,EU27,Energy, raw materials and utilities,VC,351.8164165,2021
EU27,EU27,Energy, raw materials and utilities,VC,4264.958908,2022
EU27,EU27,Energy, raw materials and utilities,VC,2552.7418119999998,2023
EU27,EU27,Energy, raw materials and utilities,VC,1980.410585,2024
EU27,EU27,Energy, raw materials and utilities,VC,383.52018799999996,2025
SWE,Sweden,Energy, raw materials and utilities,VC,1.18887,2016
SWE,Sweden,Energy, raw materials and utilities,VC,1.205946,2018
SWE,Sweden,Energy, raw materials and utilities,VC,105,2021
SWE,Sweden,Energy, raw materials and utilities,VC,4075.2207719999997,2022
SWE,Sweden,Energy, raw materials and utilities,VC,1595.084799,2023
SWE,Sweden,Energy, raw materials and utilities,VC,707.689576,2024
SWE,Sweden,Energy, raw materials and utilities,VC,5.526717,2025
DEU,Germany,Energy, raw materials and utilities,VC,1.780129,2017
DEU,Germany,Energy, raw materials and utilities,VC,1.4559795,2018
DEU,Germany,Energy, raw materials and utilities,VC,9.9421935,2019
DEU,Germany,Energy, raw materials and utilities,VC,0,2020
DEU,Germany,Energy, raw materials and utilities,VC,164.801478,2021
DEU,Germany,Energy, raw materials and utilities,VC,186.882478,2022
DEU,Germany,Energy, raw materials and utilities,VC,726.199301,2023
DEU,Germany,Energy, raw materials and utilities,VC,1227.186702,2024
DEU,Germany,Energy, raw materials and utilities,VC,277.616832,2025
GBR,United Kingdom,Energy, raw materials and utilities,VC,6.768824,2012
GBR,United Kingdom,Energy, raw materials and utilities,VC,35.275682,2015
GBR,United Kingdom,Energy, raw materials and utilities,VC,1.345921,2017
GBR,United Kingdom,Energy, raw materials and utilities,VC,3.369576,2018
GBR,United Kingdom,Energy, raw materials and utilities,VC,23.886619,2020
