Country,Country_label,INDUSTRY,STAGE,Sum_of_deals,Year
EU27,EU27,Financial and insurance services,VC,8.345599,2012
EU27,EU27,Financial and insurance services,VC,35.120329,2013
EU27,EU27,Financial and insurance services,VC,455.89891900000003,2014
EU27,EU27,Financial and insurance services,VC,414.4575755,2015
EU27,EU27,Financial and insurance services,VC,153.186308,2016
EU27,EU27,Financial and insurance services,VC,143.19645,2017
EU27,EU27,Financial and insurance services,VC,41.490661499999995,2018
EU27,EU27,Financial and insurance services,VC,913.534702,2019
EU27,EU27,Financial and insurance services,VC,1306.2231120000001,2020
EU27,EU27,Financial and insurance services,VC,4104.384048,2021
EU27,EU27,Financial and insurance services,VC,1994.120406,2022
EU27,EU27,Financial and insurance services,VC,731.946402,2023
EU27,EU27,Financial and insurance services,VC,226.5627515,2024
EU27,EU27,Financial and insurance services,VC,612.1509925,2025
GBR,United Kingdom,Financial and insurance services,VC,6.253577,2012
GBR,United Kingdom,Financial and insurance services,VC,85.54574699999999,2013
GBR,United Kingdom,Financial and insurance services,VC,15.799692,2014
GBR,United Kingdom,Financial and insurance services,VC,198.12633799999998,2015
GBR,United Kingdom,Financial and insurance services,VC,142.521765,2016
GBR,United Kingdom,Financial and insurance services,VC,375.002423,2017
GBR,United Kingdom,Financial and insurance services,VC,227.6423525,2018
GBR,United Kingdom,Financial and insurance services,VC,730.862856,2019
GBR,United Kingdom,Financial and insurance services,VC,150.574942,2020
GBR,United Kingdom,Financial and insurance services,VC,677.831055,2021
GBR,United Kingdom,Financial and insurance services,VC,639.567453,2022
GBR,United Kingdom,Financial and insurance services,VC,377.08745749999997,2023
GBR,United Kingdom,Financial and insurance services,VC,260.83741100000003,2024
GBR,United Kingdom,Financial and insurance services,VC,5717.4678415,2025
SWE,Sweden,Financial and insurance services,VC,121.10466,2014
SWE,Sweden,Financial and insurance services,VC,36.868788,2016
SWE,Sweden,Financial and insurance services,VC,5.9105360000000005,2017
SWE,Sweden,Financial and insurance services,VC,20,2018
SWE,Sweden,Financial and insurance services,VC,565.517005,2019
SWE,Sweden,Financial and insurance services,VC,862.2518825,2020
SWE,Sweden,Financial and insurance services,VC,1672.94087,2021
SWE,Sweden,Financial and insurance services,VC,1012.6875640000001,2022
SWE,Sweden,Financial and insurance services,VC,193.28247000000002,2023
SWE,Sweden,Financial and insurance services,VC,23.910472,2024
SWE,Sweden,Financial and insurance services,VC,21.732657,2025
DEU,Germany,Financial and insurance services,VC,4,2012
DEU,Germany,Financial and insurance services,VC,23.043312,2013
DEU,Germany,Financial and insurance services,VC,56.969611,2014
DEU,Germany,Financial and insurance services,VC,303.551032,2015
DEU,Germany,Financial and insurance services,VC,66.65522,2016
DEU,Germany,Financial and insurance services,VC,59.068424,2017
DEU,Germany,Financial and insurance services,VC,8.5644945,2018
DEU,Germany,Financial and insurance services,VC,117.697035,2019
DEU,Germany,Financial and insurance services,VC,73.333965,2020
DEU,Germany,Financial and insurance services,VC,623.54249,2021
DEU,Germany,Financial and insurance services,VC,365.488492,2022
DEU,Germany,Financial and insurance services,VC,220.37921,2023
DEU,Germany,Financial and insurance services,VC,72.547292,2024
DEU,Germany,Financial and insurance services,VC,301.393127,2025
FRA,France,Financial and insurance services,VC,4.345599,2012
FRA,France,Financial and insurance services,VC,6.822865,2013
FRA,France,Financial and insurance services,VC,11.553627,2014
FRA,France,Financial and insurance services,VC,28.542195999999997,2015
FRA,France,Financial and insurance services,VC,26.119571,2016
FRA,France,Financial and insurance services,VC,68.016746,2017
FRA,France,Financial and insurance services,VC,149.678863,2019
FRA,France,Financial and insurance services,VC,131.029358,2020
FRA,France,Financial and insurance services,VC,1185.91343,2021
FRA,France,Financial and insurance services,VC,220.54607,2022
FRA,France,Financial and insurance services,VC,132.743762,2023
FRA,France,Financial and insurance services,VC,46.183287,2024
FRA,France,Financial and insurance services,VC,122.7318865,2025
CHE,Switzerland,Financial and insurance services,VC,3,2014
CHE,Switzerland,Financial and insurance services,VC,1.1,2015
CHE,Switzerland,Financial and insurance services,VC,37.065960000000004,2016
CHE,Switzerland,Financial and insurance services,VC,2.784513,2017
CHE,Switzerland,Financial and insurance services,VC,39.979454,2018
CHE,Switzerland,Financial and insurance services,VC,240.7727675,2019
CHE,Switzerland,Financial and insurance services,VC,33.919421,2020
CHE,Switzerland,Financial and insurance services,VC,690.892393,2021
CHE,Switzerland,Financial and insurance services,VC,478.16159400000004,2022
CHE,Switzerland,Financial and insurance services,VC,81.5,2023
CHE,Switzerland,Financial and insurance services,VC,42.2,2024
CHE,Switzerland,Financial and insurance services,VC,297.046278,2025
AUT,Austria,Financial and insurance services,VC,1.193726,2018
AUT,Austria,Financial and insurance services,VC,51.983739,2020
AUT,Austria,Financial and insurance services,VC,452.553765,2021
AUT,Austria,Financial and insurance services,VC,6.25798,2023
AUT,Austria,Financial and insurance services,VC,5.5,2025
NLD,Netherlands,Financial and insurance services,VC,266,2014
NLD,Netherlands,Financial and insurance services,VC,2.1142235,2015
NLD,Netherlands,Financial and insurance services,VC,2.0246775,2020
NLD,Netherlands,Financial and insurance services,VC,9.704816000000001,2021
NLD,Netherlands,Financial and insurance services,VC,28.884788,2022
NLD,Netherlands,Financial and insurance services,VC,4.753418,2023
NLD,Netherlands,Financial and insurance services,VC,8.874382,2025
IRL,Ireland,Financial and insurance services,VC,5.254152,2013
IRL,Ireland,Financial and insurance services,VC,78.41006300000001,2015
IRL,Ireland,Financial and insurance services,VC,4.662613,2016
IRL,Ireland,Financial and insurance services,VC,4.848439,2017
IRL,Ireland,Financial and insurance services,VC,3.560885,2018
IRL,Ireland,Financial and insurance services,VC,75.170112,2019
IRL,Ireland,Financial and insurance services,VC,13.155004,2020
IRL,Ireland,Financial and insurance services,VC,36.574558,2021
IRL,Ireland,Financial and insurance services,VC,62.477113,2022
IRL,Ireland,Financial and insurance services,VC,3.777557,2023
IRL,Ireland,Financial and insurance services,VC,2.7,2024
IRL,Ireland,Financial and insurance services,VC,7.24581,2025
ESP,Spain,Financial and insurance services,VC,0.271021,2014
ESP,Spain,Financial and insurance services,VC,0.370718,2015
ESP,Spain,Financial and insurance services,VC,0.974876,2016
ESP,Spain,Financial and insurance services,VC,0.552685,2017
ESP,Spain,Financial and insurance services,VC,0.477466,2018
ESP,Spain,Financial and insurance services,VC,0.257829,2019
ESP,Spain,Financial and insurance services,VC,1.1621055,2020
ESP,Spain,Financial and insurance services,VC,32.6500185,2021
ESP,Spain,Financial and insurance services,VC,209.76673300000002,2022
ESP,Spain,Financial and insurance services,VC,10.204799,2023
ESP,Spain,Financial and insurance services,VC,2.1659800000000002,2024
ESP,Spain,Financial and insurance services,VC,19,2025
ITA,Italy,Financial and insurance services,VC,1.113389,2015
ITA,Italy,Financial and insurance services,VC,3.5447870000000004,2017
ITA,Italy,Financial and insurance services,VC,2.372265,2018
ITA,Italy,Financial and insurance services,VC,51.405727999999996,2020
ITA,Italy,Financial and insurance services,VC,56.4389655,2021
ITA,Italy,Financial and insurance services,VC,10.281565,2022
ITA,Italy,Financial and insurance services,VC,13.111213000000001,2023
ITA,Italy,Financial and insurance services,VC,39.579288,2024
ITA,Italy,Financial and insurance services,VC,57.647396,2025
LTU,Lithuania,Financial and insurance services,VC,5.508449,2016
LTU,Lithuania,Financial and insurance services,VC,101.228158,2020
LTU,Lithuania,Financial and insurance services,VC,104.191838,2023
LTU,Lithuania,Financial and insurance services,VC,8.458494,2024
LTU,Lithuania,Financial and insurance services,VC,10.741159,2025
EST,Estonia,Financial and insurance services,VC,11.547325,2020
EST,Estonia,Financial and insurance services,VC,10.795715,2021
EST,Estonia,Financial and insurance services,VC,43,2022
EST,Estonia,Financial and insurance services,VC,4.992201,2025
DNK,Denmark,Financial and insurance services,VC,2.242662,2016
DNK,Denmark,Financial and insurance services,VC,0.774495,2018
DNK,Denmark,Financial and insurance services,VC,3.008965,2019
DNK,Denmark,Financial and insurance services,VC,1.484363,2020
DNK,Denmark,Financial and insurance services,VC,14.079173,2024
DNK,Denmark,Financial and insurance services,VC,30.430491,2025
ROU,Romania,Financial and insurance services,VC,0.12,2018
ROU,Romania,Financial and insurance services,VC,0.204893,2019
ROU,Romania,Financial and insurance services,VC,9.928665,2021
ROU,Romania,Financial and insurance services,VC,37.094033,2023
ROU,Romania,Financial and insurance services,VC,1.6202785,2024
CZE,Czech Republic,Financial and insurance services,VC,0.321917,2016
CZE,Czech Republic,Financial and insurance services,VC,4.3920075,2020
CZE,Czech Republic,Financial and insurance services,VC,5.970283,2021
CZE,Czech Republic,Financial and insurance services,VC,23.723316,2022
CZE,Czech Republic,Financial and insurance services,VC,1.709806,2023
CZE,Czech Republic,Financial and insurance services,VC,2.279451,2024
CZE,Czech Republic,Financial and insurance services,VC,0.441073,2025
FIN,Finland,Financial and insurance services,VC,9,2016
FIN,Finland,Financial and insurance services,VC,1.563357,2023
FIN,Finland,Financial and insurance services,VC,8.039036,2024
FIN,Finland,Financial and insurance services,VC,12.100029,2025
BEL,Belgium,Financial and insurance services,VC,0.355954,2015
BEL,Belgium,Financial and insurance services,VC,0.832212,2016
BEL,Belgium,Financial and insurance services,VC,3.7273300000000003,2018
BEL,Belgium,Financial and insurance services,VC,0.664903,2020
BEL,Belgium,Financial and insurance services,VC,2.877529,2021
BEL,Belgium,Financial and insurance services,VC,16.209318,2022
BEL,Belgium,Financial and insurance services,VC,1.8346770000000001,2023
BEL,Belgium,Financial and insurance services,VC,0,2024
BEL,Belgium,Financial and insurance services,VC,3.221837,2025
ISL,Iceland,Financial and insurance services,VC,2,2019
ISL,Iceland,Financial and insurance services,VC,6.1,2020
ISL,Iceland,Financial and insurance services,VC,17,2022
TUR,Türkiye,Financial and insurance services,VC,0.321173,2023
TUR,Türkiye,Financial and insurance services,VC,0.6,2024
TUR,Türkiye,Financial and insurance services,VC,17.6,2025
LVA,Latvia,Financial and insurance services,VC,0.16411,2017
LVA,Latvia,Financial and insurance services,VC,0.7,2018
LVA,Latvia,Financial and insurance services,VC,0.559896,2020
LVA,Latvia,Financial and insurance services,VC,4.492943,2021
LVA,Latvia,Financial and insurance services,VC,3.919693,2025
RUS,Russia,Financial and insurance services,VC,1,2017
RUS,Russia,Financial and insurance services,VC,5.5,2018
RUS,Russia,Financial and insurance services,VC,3.117148,2021
PRT,Portugal,Financial and insurance services,VC,1.055447,2022
PRT,Portugal,Financial and insurance services,VC,1.042282,2023
PRT,Portugal,Financial and insurance services,VC,5,2024
LUX,Luxembourg,Financial and insurance services,VC,1.090723,2017
LUX,Luxembourg,Financial and insurance services,VC,2,2019
BGR,Bulgaria,Financial and insurance services,VC,2.179251,2025
NOR,Norway,Financial and insurance services,VC,0.555601,2017
NOR,Norway,Financial and insurance services,VC,0.366714,2019
CYP,Cyprus,Financial and insurance services,VC,0,2025
HUN,Hungary,Financial and insurance services,VC,0,2025
