Country,Country_label,INDUSTRY,STAGE,Sum_of_deals,Year
EU27,EU27,Media, social platforms and marketing,VC,20.029746,2012
EU27,EU27,Media, social platforms and marketing,VC,46.85194,2013
EU27,EU27,Media, social platforms and marketing,VC,138.0294415,2014
EU27,EU27,Media, social platforms and marketing,VC,162.629995,2015
EU27,EU27,Media, social platforms and marketing,VC,192.6162125,2016
EU27,EU27,Media, social platforms and marketing,VC,198.341822,2017
EU27,EU27,Media, social platforms and marketing,VC,394.0953895,2018
EU27,EU27,Media, social platforms and marketing,VC,792.164132,2019
EU27,EU27,Media, social platforms and marketing,VC,425.1404115,2020
EU27,EU27,Media, social platforms and marketing,VC,852.273948,2021
EU27,EU27,Media, social platforms and marketing,VC,1458.980791,2022
EU27,EU27,Media, social platforms and marketing,VC,778.618134,2023
EU27,EU27,Media, social platforms and marketing,VC,897.307955,2024
EU27,EU27,Media, social platforms and marketing,VC,602.168405,2025
GBR,United Kingdom,Media, social platforms and marketing,VC,32.9309505,2012
GBR,United Kingdom,Media, social platforms and marketing,VC,25.9436525,2013
GBR,United Kingdom,Media, social platforms and marketing,VC,74.761823,2014
GBR,United Kingdom,Media, social platforms and marketing,VC,135.701253,2015
GBR,United Kingdom,Media, social platforms and marketing,VC,175.536628,2016
GBR,United Kingdom,Media, social platforms and marketing,VC,92.330587,2017
GBR,United Kingdom,Media, social platforms and marketing,VC,257.0386715,2018
GBR,United Kingdom,Media, social platforms and marketing,VC,224.983829,2019
GBR,United Kingdom,Media, social platforms and marketing,VC,268.753901,2020
GBR,United Kingdom,Media, social platforms and marketing,VC,544.795333,2021
GBR,United Kingdom,Media, social platforms and marketing,VC,801.632966,2022
GBR,United Kingdom,Media, social platforms and marketing,VC,291.891489,2023
GBR,United Kingdom,Media, social platforms and marketing,VC,284.821677,2024
GBR,United Kingdom,Media, social platforms and marketing,VC,129.115647,2025
DEU,Germany,Media, social platforms and marketing,VC,4.5,2012
DEU,Germany,Media, social platforms and marketing,VC,9.395909,2013
DEU,Germany,Media, social platforms and marketing,VC,46.653867000000005,2014
DEU,Germany,Media, social platforms and marketing,VC,24.068878,2015
DEU,Germany,Media, social platforms and marketing,VC,36.539668,2016
DEU,Germany,Media, social platforms and marketing,VC,41.181518,2017
DEU,Germany,Media, social platforms and marketing,VC,43.826423,2018
DEU,Germany,Media, social platforms and marketing,VC,277.3434735,2019
DEU,Germany,Media, social platforms and marketing,VC,118.33119099999999,2020
DEU,Germany,Media, social platforms and marketing,VC,336.581809,2021
DEU,Germany,Media, social platforms and marketing,VC,273.6545915,2022
DEU,Germany,Media, social platforms and marketing,VC,134.776249,2023
DEU,Germany,Media, social platforms and marketing,VC,84.703204,2024
DEU,Germany,Media, social platforms and marketing,VC,117.64061,2025
FRA,France,Media, social platforms and marketing,VC,10.033208,2012
FRA,France,Media, social platforms and marketing,VC,5.11334,2013
FRA,France,Media, social platforms and marketing,VC,6.7174119999999995,2014
FRA,France,Media, social platforms and marketing,VC,38.527482,2015
FRA,France,Media, social platforms and marketing,VC,28.906337999999998,2016
FRA,France,Media, social platforms and marketing,VC,57.990834,2017
FRA,France,Media, social platforms and marketing,VC,148.019882,2018
FRA,France,Media, social platforms and marketing,VC,198.71989649999998,2019
FRA,France,Media, social platforms and marketing,VC,139.948004,2020
FRA,France,Media, social platforms and marketing,VC,90.686088,2021
FRA,France,Media, social platforms and marketing,VC,334.606643,2022
FRA,France,Media, social platforms and marketing,VC,110.017807,2023
FRA,France,Media, social platforms and marketing,VC,110.327482,2024
FRA,France,Media, social platforms and marketing,VC,66.2748505,2025
ITA,Italy,Media, social platforms and marketing,VC,1.338909,2012
ITA,Italy,Media, social platforms and marketing,VC,7.397802499999999,2013
ITA,Italy,Media, social platforms and marketing,VC,8.311907,2014
ITA,Italy,Media, social platforms and marketing,VC,12.946606,2015
ITA,Italy,Media, social platforms and marketing,VC,7.311724,2016
ITA,Italy,Media, social platforms and marketing,VC,19.860866,2017
ITA,Italy,Media, social platforms and marketing,VC,35.530226,2018
ITA,Italy,Media, social platforms and marketing,VC,2.000262,2019
ITA,Italy,Media, social platforms and marketing,VC,9.190108500000001,2020
ITA,Italy,Media, social platforms and marketing,VC,5.4503795,2021
ITA,Italy,Media, social platforms and marketing,VC,348.634878,2022
ITA,Italy,Media, social platforms and marketing,VC,49.792666,2023
ITA,Italy,Media, social platforms and marketing,VC,202.871015,2024
ITA,Italy,Media, social platforms and marketing,VC,7.936827,2025
ESP,Spain,Media, social platforms and marketing,VC,0.130034,2012
ESP,Spain,Media, social platforms and marketing,VC,2.8569955,2013
ESP,Spain,Media, social platforms and marketing,VC,5.484677,2014
ESP,Spain,Media, social platforms and marketing,VC,14.419974,2015
ESP,Spain,Media, social platforms and marketing,VC,1.196224,2016
ESP,Spain,Media, social platforms and marketing,VC,8.295226,2017
ESP,Spain,Media, social platforms and marketing,VC,11.741079000000001,2018
ESP,Spain,Media, social platforms and marketing,VC,4.871491,2019
ESP,Spain,Media, social platforms and marketing,VC,8.310653,2020
ESP,Spain,Media, social platforms and marketing,VC,49.721073000000004,2021
ESP,Spain,Media, social platforms and marketing,VC,287.571328,2022
ESP,Spain,Media, social platforms and marketing,VC,32.944829,2023
ESP,Spain,Media, social platforms and marketing,VC,35.326712,2024
ESP,Spain,Media, social platforms and marketing,VC,29.9489335,2025
NLD,Netherlands,Media, social platforms and marketing,VC,0.908963,2012
NLD,Netherlands,Media, social platforms and marketing,VC,0.4,2013
NLD,Netherlands,Media, social platforms and marketing,VC,2.000204,2014
NLD,Netherlands,Media, social platforms and marketing,VC,9.798641,2015
NLD,Netherlands,Media, social platforms and marketing,VC,3.7,2016
NLD,Netherlands,Media, social platforms and marketing,VC,7.7,2017
NLD,Netherlands,Media, social platforms and marketing,VC,29.966681,2018
NLD,Netherlands,Media, social platforms and marketing,VC,13.089049,2019
NLD,Netherlands,Media, social platforms and marketing,VC,24.7264735,2020
NLD,Netherlands,Media, social platforms and marketing,VC,62.815527,2021
NLD,Netherlands,Media, social platforms and marketing,VC,58.743117,2022
NLD,Netherlands,Media, social platforms and marketing,VC,111.523422,2023
NLD,Netherlands,Media, social platforms and marketing,VC,37.531798,2024
NLD,Netherlands,Media, social platforms and marketing,VC,115.240926,2025
FIN,Finland,Media, social platforms and marketing,VC,0.37863199999999997,2012
FIN,Finland,Media, social platforms and marketing,VC,3.5435929999999995,2013
FIN,Finland,Media, social platforms and marketing,VC,14.164678,2014
FIN,Finland,Media, social platforms and marketing,VC,3.314041,2015
FIN,Finland,Media, social platforms and marketing,VC,14.4593705,2016
FIN,Finland,Media, social platforms and marketing,VC,25.153477999999996,2017
FIN,Finland,Media, social platforms and marketing,VC,22.752023,2018
FIN,Finland,Media, social platforms and marketing,VC,230.027561,2019
FIN,Finland,Media, social platforms and marketing,VC,20.794045,2020
FIN,Finland,Media, social platforms and marketing,VC,13.415414,2021
FIN,Finland,Media, social platforms and marketing,VC,26,2022
FIN,Finland,Media, social platforms and marketing,VC,34.62432,2023
FIN,Finland,Media, social platforms and marketing,VC,13.050636,2024
FIN,Finland,Media, social platforms and marketing,VC,3.333443,2025
NOR,Norway,Media, social platforms and marketing,VC,4,2015
NOR,Norway,Media, social platforms and marketing,VC,0.589291,2016
NOR,Norway,Media, social platforms and marketing,VC,11.87415,2017
NOR,Norway,Media, social platforms and marketing,VC,4.800199,2018
NOR,Norway,Media, social platforms and marketing,VC,40.94456,2019
NOR,Norway,Media, social platforms and marketing,VC,17.024893,2020
NOR,Norway,Media, social platforms and marketing,VC,85.74860100000001,2021
NOR,Norway,Media, social platforms and marketing,VC,126.391379,2022
NOR,Norway,Media, social platforms and marketing,VC,84.184997,2023
NOR,Norway,Media, social platforms and marketing,VC,14.756147000000002,2024
NOR,Norway,Media, social platforms and marketing,VC,9.357393,2025
DNK,Denmark,Media, social platforms and marketing,VC,6.280313,2013
DNK,Denmark,Media, social platforms and marketing,VC,17.53165,2014
DNK,Denmark,Media, social platforms and marketing,VC,34.088922,2015
DNK,Denmark,Media, social platforms and marketing,VC,15.002301,2016
DNK,Denmark,Media, social platforms and marketing,VC,0.900085,2017
DNK,Denmark,Media, social platforms and marketing,VC,54.319616999999994,2018
DNK,Denmark,Media, social platforms and marketing,VC,8.830842,2019
DNK,Denmark,Media, social platforms and marketing,VC,41.9,2020
DNK,Denmark,Media, social platforms and marketing,VC,90,2021
DNK,Denmark,Media, social platforms and marketing,VC,30.916709,2022
DNK,Denmark,Media, social platforms and marketing,VC,14.195013000000001,2023
DNK,Denmark,Media, social platforms and marketing,VC,38.904121,2024
DNK,Denmark,Media, social platforms and marketing,VC,26.824495,2025
SWE,Sweden,Media, social platforms and marketing,VC,0.7,2012
SWE,Sweden,Media, social platforms and marketing,VC,3.047588,2013
SWE,Sweden,Media, social platforms and marketing,VC,16.7,2014
SWE,Sweden,Media, social platforms and marketing,VC,14.571928,2015
SWE,Sweden,Media, social platforms and marketing,VC,4.447698,2016
SWE,Sweden,Media, social platforms and marketing,VC,20.276685999999998,2017
SWE,Sweden,Media, social platforms and marketing,VC,14.388833,2018
SWE,Sweden,Media, social platforms and marketing,VC,36.644997000000004,2019
SWE,Sweden,Media, social platforms and marketing,VC,41.8847275,2020
SWE,Sweden,Media, social platforms and marketing,VC,85.810492,2021
SWE,Sweden,Media, social platforms and marketing,VC,31.648547,2022
SWE,Sweden,Media, social platforms and marketing,VC,18.519801,2023
SWE,Sweden,Media, social platforms and marketing,VC,16.778864000000002,2024
SWE,Sweden,Media, social platforms and marketing,VC,17.530698,2025
BEL,Belgium,Media, social platforms and marketing,VC,1.932402,2013
BEL,Belgium,Media, social platforms and marketing,VC,8.790293,2014
BEL,Belgium,Media, social platforms and marketing,VC,5.221441,2015
BEL,Belgium,Media, social platforms and marketing,VC,50.555058,2016
BEL,Belgium,Media, social platforms and marketing,VC,2.793361,2017
BEL,Belgium,Media, social platforms and marketing,VC,26.479849,2018
BEL,Belgium,Media, social platforms and marketing,VC,9.171478,2019
BEL,Belgium,Media, social platforms and marketing,VC,8.644991000000001,2020
BEL,Belgium,Media, social platforms and marketing,VC,30.618654499999998,2021
BEL,Belgium,Media, social platforms and marketing,VC,18.610651,2022
BEL,Belgium,Media, social platforms and marketing,VC,1.898981,2024
BEL,Belgium,Media, social platforms and marketing,VC,2.290877,2025
CHE,Switzerland,Media, social platforms and marketing,VC,2,2013
CHE,Switzerland,Media, social platforms and marketing,VC,2.218161,2014
CHE,Switzerland,Media, social platforms and marketing,VC,2.2,2015
CHE,Switzerland,Media, social platforms and marketing,VC,1.8603120000000002,2016
CHE,Switzerland,Media, social platforms and marketing,VC,15.810767000000002,2017
CHE,Switzerland,Media, social platforms and marketing,VC,10.672227,2018
CHE,Switzerland,Media, social platforms and marketing,VC,11.805935,2019
CHE,Switzerland,Media, social platforms and marketing,VC,12.997089,2020
CHE,Switzerland,Media, social platforms and marketing,VC,14.8644265,2021
CHE,Switzerland,Media, social platforms and marketing,VC,33.922964,2022
CHE,Switzerland,Media, social platforms and marketing,VC,33.981663999999995,2023
CHE,Switzerland,Media, social platforms and marketing,VC,2.825439,2024
CHE,Switzerland,Media, social platforms and marketing,VC,12.183504,2025
ROU,Romania,Media, social platforms and marketing,VC,0,2014
ROU,Romania,Media, social platforms and marketing,VC,0,2015
ROU,Romania,Media, social platforms and marketing,VC,0.777866,2016
ROU,Romania,Media, social platforms and marketing,VC,1.427303,2018
ROU,Romania,Media, social platforms and marketing,VC,0.1,2021
ROU,Romania,Media, social platforms and marketing,VC,100,2023
ROU,Romania,Media, social platforms and marketing,VC,0.21567,2025
IRL,Ireland,Media, social platforms and marketing,VC,2,2012
IRL,Ireland,Media, social platforms and marketing,VC,1.1,2013
IRL,Ireland,Media, social platforms and marketing,VC,7.3571995,2014
IRL,Ireland,Media, social platforms and marketing,VC,5.372082000000001,2015
IRL,Ireland,Media, social platforms and marketing,VC,18.255632,2016
IRL,Ireland,Media, social platforms and marketing,VC,2.1076845,2018
IRL,Ireland,Media, social platforms and marketing,VC,10.639563,2019
IRL,Ireland,Media, social platforms and marketing,VC,1.660585,2020
IRL,Ireland,Media, social platforms and marketing,VC,4.283498,2021
IRL,Ireland,Media, social platforms and marketing,VC,7.018065,2022
IRL,Ireland,Media, social platforms and marketing,VC,16.685964,2023
IRL,Ireland,Media, social platforms and marketing,VC,6.13762,2024
LVA,Latvia,Media, social platforms and marketing,VC,5.577997,2020
LVA,Latvia,Media, social platforms and marketing,VC,50,2021
LVA,Latvia,Media, social platforms and marketing,VC,0.704197,2023
ISL,Iceland,Media, social platforms and marketing,VC,2,2018
ISL,Iceland,Media, social platforms and marketing,VC,3.5,2019
