Country,Country_label,INDUSTRY,STAGE,Sum_of_deals,Year
GBR,United Kingdom,Robots, sensors and IT hardware,VC,1.524824,2014
GBR,United Kingdom,Robots, sensors and IT hardware,VC,1.677685,2015
GBR,United Kingdom,Robots, sensors and IT hardware,VC,35.928338,2016
GBR,United Kingdom,Robots, sensors and IT hardware,VC,88.311499,2017
GBR,United Kingdom,Robots, sensors and IT hardware,VC,234.768278,2018
GBR,United Kingdom,Robots, sensors and IT hardware,VC,26.900519000000003,2019
GBR,United Kingdom,Robots, sensors and IT hardware,VC,407.42310499999996,2020
GBR,United Kingdom,Robots, sensors and IT hardware,VC,539.72262,2021
GBR,United Kingdom,Robots, sensors and IT hardware,VC,62.388472,2022
GBR,United Kingdom,Robots, sensors and IT hardware,VC,80.1945455,2023
GBR,United Kingdom,Robots, sensors and IT hardware,VC,355.0554465,2024
GBR,United Kingdom,Robots, sensors and IT hardware,VC,1197.4083285,2025
EU27,EU27,Robots, sensors and IT hardware,VC,43.454335,2012
EU27,EU27,Robots, sensors and IT hardware,VC,16.058182,2013
EU27,EU27,Robots, sensors and IT hardware,VC,12.316386999999999,2014
EU27,EU27,Robots, sensors and IT hardware,VC,18.140984,2015
EU27,EU27,Robots, sensors and IT hardware,VC,12.286928,2016
EU27,EU27,Robots, sensors and IT hardware,VC,30.578927,2017
EU27,EU27,Robots, sensors and IT hardware,VC,91.435889,2018
EU27,EU27,Robots, sensors and IT hardware,VC,44.163354,2019
EU27,EU27,Robots, sensors and IT hardware,VC,108.7598055,2020
EU27,EU27,Robots, sensors and IT hardware,VC,336.95710099999997,2021
EU27,EU27,Robots, sensors and IT hardware,VC,220.480672,2022
EU27,EU27,Robots, sensors and IT hardware,VC,584.066404,2023
EU27,EU27,Robots, sensors and IT hardware,VC,568.629166,2024
EU27,EU27,Robots, sensors and IT hardware,VC,405.209495,2025
CHE,Switzerland,Robots, sensors and IT hardware,VC,10,2012
CHE,Switzerland,Robots, sensors and IT hardware,VC,5.5,2014
CHE,Switzerland,Robots, sensors and IT hardware,VC,3.208143,2015
CHE,Switzerland,Robots, sensors and IT hardware,VC,22.269427,2016
CHE,Switzerland,Robots, sensors and IT hardware,VC,7.5,2017
CHE,Switzerland,Robots, sensors and IT hardware,VC,54.230942,2018
CHE,Switzerland,Robots, sensors and IT hardware,VC,97.243079,2019
CHE,Switzerland,Robots, sensors and IT hardware,VC,205.054069,2020
CHE,Switzerland,Robots, sensors and IT hardware,VC,80.4642345,2021
CHE,Switzerland,Robots, sensors and IT hardware,VC,155.808296,2022
CHE,Switzerland,Robots, sensors and IT hardware,VC,151.778935,2023
CHE,Switzerland,Robots, sensors and IT hardware,VC,135.446927,2024
CHE,Switzerland,Robots, sensors and IT hardware,VC,150.981753,2025
FRA,France,Robots, sensors and IT hardware,VC,43.454335,2012
FRA,France,Robots, sensors and IT hardware,VC,15.276448999999998,2013
FRA,France,Robots, sensors and IT hardware,VC,8.717184,2014
FRA,France,Robots, sensors and IT hardware,VC,3.791126,2015
FRA,France,Robots, sensors and IT hardware,VC,2.635465,2016
FRA,France,Robots, sensors and IT hardware,VC,15.839202,2017
FRA,France,Robots, sensors and IT hardware,VC,25.261385999999998,2018
FRA,France,Robots, sensors and IT hardware,VC,5.649373,2019
FRA,France,Robots, sensors and IT hardware,VC,29.787949,2020
FRA,France,Robots, sensors and IT hardware,VC,83.1071585,2021
FRA,France,Robots, sensors and IT hardware,VC,65.993629,2022
FRA,France,Robots, sensors and IT hardware,VC,210.02717099999998,2023
FRA,France,Robots, sensors and IT hardware,VC,36.4118735,2024
FRA,France,Robots, sensors and IT hardware,VC,113.927419,2025
NLD,Netherlands,Robots, sensors and IT hardware,VC,3.766664,2015
NLD,Netherlands,Robots, sensors and IT hardware,VC,6.429496,2016
NLD,Netherlands,Robots, sensors and IT hardware,VC,7.663475,2017
NLD,Netherlands,Robots, sensors and IT hardware,VC,28.115459,2018
NLD,Netherlands,Robots, sensors and IT hardware,VC,25.2881195,2019
NLD,Netherlands,Robots, sensors and IT hardware,VC,47.617990999999996,2020
NLD,Netherlands,Robots, sensors and IT hardware,VC,93.096825,2021
NLD,Netherlands,Robots, sensors and IT hardware,VC,33.7,2022
NLD,Netherlands,Robots, sensors and IT hardware,VC,169.657496,2023
NLD,Netherlands,Robots, sensors and IT hardware,VC,124.60129800000001,2024
NLD,Netherlands,Robots, sensors and IT hardware,VC,96.48089399999999,2025
DEU,Germany,Robots, sensors and IT hardware,VC,0.781733,2013
DEU,Germany,Robots, sensors and IT hardware,VC,8.157784,2015
DEU,Germany,Robots, sensors and IT hardware,VC,1,2016
DEU,Germany,Robots, sensors and IT hardware,VC,5.532179,2017
DEU,Germany,Robots, sensors and IT hardware,VC,12.5,2018
DEU,Germany,Robots, sensors and IT hardware,VC,2.756692,2019
DEU,Germany,Robots, sensors and IT hardware,VC,0,2020
DEU,Germany,Robots, sensors and IT hardware,VC,101.654479,2021
