STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,age,Age class,sex,Sex,nace_r2,Statistical classification of economic activities in the European Community (NACE Rev. 2),isco08,International Standard Classification of Occupations 2008 (ISCO-08),unit,Unit of measure,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:LFSA_EISN2(1.0),Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),A,Annual,Y_GE15,15 years or over,T,Total,TOTAL,Total - all NACE activities,OC0,Armed forces occupations,THS_PER,Thousand persons,AT,Austria,2008,,12.6,,,,,
dataflow,ESTAT:LFSA_EISN2(1.0),Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),A,Annual,Y_GE15,15 years or over,T,Total,TOTAL,Total - all NACE activities,OC0,Armed forces occupations,THS_PER,Thousand persons,AT,Austria,2009,,13.6,,,,,
dataflow,ESTAT:LFSA_EISN2(1.0),Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),A,Annual,Y_GE15,15 years or over,T,Total,TOTAL,Total - all NACE activities,OC0,Armed forces occupations,THS_PER,Thousand persons,AT,Austria,2010,,11.3,,,,,
dataflow,ESTAT:LFSA_EISN2(1.0),Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),A,Annual,Y_GE15,15 years or over,T,Total,TOTAL,Total - all NACE activities,OC0,Armed forces occupations,THS_PER,Thousand persons,AT,Austria,2011,,9.1,,b,break in time series,,
dataflow,ESTAT:LFSA_EISN2(1.0),Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),A,Annual,Y_GE15,15 years or over,T,Total,TOTAL,Total - all NACE activities,OC0,Armed forces occupations,THS_PER,Thousand persons,AT,Austria,2012,,9.7,,,,,
dataflow,ESTAT:LFSA_EISN2(1.0),Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),A,Annual,Y_GE15,15 years or over,T,Total,TOTAL,Total - all NACE activities,OC0,Armed forces occupations,THS_PER,Thousand persons,AT,Austria,2013,,10.5,,,,,
dataflow,ESTAT:LFSA_EISN2(1.0),Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),A,Annual,Y_GE15,15 years or over,T,Total,TOTAL,Total - all NACE activities,OC0,Armed forces occupations,THS_PER,Thousand persons,AT,Austria,2014,,11.0,,,,,
dataflow,ESTAT:LFSA_EISN2(1.0),Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),A,Annual,Y_GE15,15 years or over,T,Total,TOTAL,Total - all NACE activities,OC0,Armed forces occupations,THS_PER,Thousand persons,AT,Austria,2015,,10.6,,,,,
dataflow,ESTAT:LFSA_EISN2(1.0),Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),A,Annual,Y_GE15,15 years or over,T,Total,TOTAL,Total - all NACE activities,OC0,Armed forces occupations,THS_PER,Thousand persons,AT,Austria,2016,,12.1,,,,,
dataflow,ESTAT:LFSA_EISN2(1.0),Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),A,Annual,Y_GE15,15 years or over,T,Total,TOTAL,Total - all NACE activities,OC0,Armed forces occupations,THS_PER,Thousand persons,AT,Austria,2017,,10.2,,,,,
dataflow,ESTAT:LFSA_EISN2(1.0),Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),A,Annual,Y_GE15,15 years or over,T,Total,TOTAL,Total - all NACE activities,OC0,Armed forces occupations,THS_PER,Thousand persons,AT,Austria,2018,,11.9,,,,,
dataflow,ESTAT:LFSA_EISN2(1.0),Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),A,Annual,Y_GE15,15 years or over,T,Total,TOTAL,Total - all NACE activities,OC0,Armed forces occupations,THS_PER,Thousand persons,AT,Austria,2019,,10.4,,,,,
dataflow,ESTAT:LFSA_EISN2(1.0),Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),A,Annual,Y_GE15,15 years or over,T,Total,TOTAL,Total - all NACE activities,OC0,Armed forces occupations,THS_PER,Thousand persons,AT,Austria,2020,,11.8,,,,,
dataflow,ESTAT:LFSA_EISN2(1.0),Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),A,Annual,Y_GE15,15 years or over,T,Total,TOTAL,Total - all NACE activities,OC0,Armed forces occupations,THS_PER,Thousand persons,AT,Austria,2021,,13.3,,b,break in time series,,
