Country,Country_label,INDUSTRY,STAGE,Sum_of_deals,Year
EU27,EU27,Digital security,VC,1.728352,2012
EU27,EU27,Digital security,VC,17.32656,2013
EU27,EU27,Digital security,VC,4.286263,2014
EU27,EU27,Digital security,VC,4.70025,2015
EU27,EU27,Digital security,VC,16.202396999999998,2016
EU27,EU27,Digital security,VC,50.28741,2017
EU27,EU27,Digital security,VC,36.392932,2018
EU27,EU27,Digital security,VC,50.463488999999996,2019
EU27,EU27,Digital security,VC,93.498885,2020
EU27,EU27,Digital security,VC,184.0614605,2021
EU27,EU27,Digital security,VC,504.5739415,2022
EU27,EU27,Digital security,VC,129.9758505,2023
EU27,EU27,Digital security,VC,115.8511565,2024
EU27,EU27,Digital security,VC,349.77147399999996,2025
CHE,Switzerland,Digital security,VC,26.5,2013
CHE,Switzerland,Digital security,VC,5.564562,2014
CHE,Switzerland,Digital security,VC,72.435252,2016
CHE,Switzerland,Digital security,VC,51.828579000000005,2017
CHE,Switzerland,Digital security,VC,140.761824,2018
CHE,Switzerland,Digital security,VC,148.94163,2019
CHE,Switzerland,Digital security,VC,26.782028999999998,2020
CHE,Switzerland,Digital security,VC,280.6167415,2021
CHE,Switzerland,Digital security,VC,402.408025,2022
CHE,Switzerland,Digital security,VC,14.56563,2023
CHE,Switzerland,Digital security,VC,42.249843,2024
CHE,Switzerland,Digital security,VC,42.62628,2025
GBR,United Kingdom,Digital security,VC,0.7881425,2013
GBR,United Kingdom,Digital security,VC,7.0052579999999995,2014
GBR,United Kingdom,Digital security,VC,52.191265,2015
GBR,United Kingdom,Digital security,VC,78.893687,2016
GBR,United Kingdom,Digital security,VC,91.192325,2017
GBR,United Kingdom,Digital security,VC,111.631678,2018
GBR,United Kingdom,Digital security,VC,8.835715,2019
GBR,United Kingdom,Digital security,VC,46.700956,2020
GBR,United Kingdom,Digital security,VC,38.081346,2021
GBR,United Kingdom,Digital security,VC,79.2449325,2022
GBR,United Kingdom,Digital security,VC,68.807407,2023
GBR,United Kingdom,Digital security,VC,352.919918,2024
GBR,United Kingdom,Digital security,VC,170.2456945,2025
FRA,France,Digital security,VC,0.728352,2012
FRA,France,Digital security,VC,0.737618,2013
FRA,France,Digital security,VC,3.0024140000000004,2014
FRA,France,Digital security,VC,0.9284020000000001,2015
FRA,France,Digital security,VC,0.848375,2016
FRA,France,Digital security,VC,17.512096,2017
FRA,France,Digital security,VC,1.244264,2018
FRA,France,Digital security,VC,1.218616,2019
FRA,France,Digital security,VC,42.068822,2020
FRA,France,Digital security,VC,32.925163000000005,2021
FRA,France,Digital security,VC,49.214224,2022
FRA,France,Digital security,VC,61.8216865,2023
FRA,France,Digital security,VC,40.2036315,2024
FRA,France,Digital security,VC,67.88183699999999,2025
DEU,Germany,Digital security,VC,0,2012
DEU,Germany,Digital security,VC,5,2013
DEU,Germany,Digital security,VC,0,2015
DEU,Germany,Digital security,VC,0.834384,2018
DEU,Germany,Digital security,VC,21.710905500000003,2019
DEU,Germany,Digital security,VC,9.716159000000001,2020
DEU,Germany,Digital security,VC,38.765043,2021
DEU,Germany,Digital security,VC,130.881761,2022
DEU,Germany,Digital security,VC,24.084328,2023
DEU,Germany,Digital security,VC,17.164383,2024
DEU,Germany,Digital security,VC,15.712149,2025
EST,Estonia,Digital security,VC,8.27922,2018
EST,Estonia,Digital security,VC,0,2019
EST,Estonia,Digital security,VC,15.717825,2020
EST,Estonia,Digital security,VC,69,2021
EST,Estonia,Digital security,VC,100,2022
EST,Estonia,Digital security,VC,13.020942,2024
EST,Estonia,Digital security,VC,48.327439,2025
HUN,Hungary,Digital security,VC,0.11055,2017
HUN,Hungary,Digital security,VC,0.575275,2018
HUN,Hungary,Digital security,VC,1.121314,2019
