Country,Country_label,INDUSTRY,STAGE,Sum_of_deals,Year
GBR,United Kingdom,Healthcare, drugs and biotechnology,VC,6.811585,2012
GBR,United Kingdom,Healthcare, drugs and biotechnology,VC,11.462237,2013
GBR,United Kingdom,Healthcare, drugs and biotechnology,VC,29.60929,2014
GBR,United Kingdom,Healthcare, drugs and biotechnology,VC,108.661303,2015
GBR,United Kingdom,Healthcare, drugs and biotechnology,VC,87.290455,2016
GBR,United Kingdom,Healthcare, drugs and biotechnology,VC,176.609238,2017
GBR,United Kingdom,Healthcare, drugs and biotechnology,VC,339.32574,2018
GBR,United Kingdom,Healthcare, drugs and biotechnology,VC,943.7226425,2019
GBR,United Kingdom,Healthcare, drugs and biotechnology,VC,329.366256,2020
GBR,United Kingdom,Healthcare, drugs and biotechnology,VC,2317.90662,2021
GBR,United Kingdom,Healthcare, drugs and biotechnology,VC,699.532509,2022
GBR,United Kingdom,Healthcare, drugs and biotechnology,VC,535.435798,2023
GBR,United Kingdom,Healthcare, drugs and biotechnology,VC,694.79792,2024
GBR,United Kingdom,Healthcare, drugs and biotechnology,VC,1137.115486,2025
EU27,EU27,Healthcare, drugs and biotechnology,VC,7.6015,2012
EU27,EU27,Healthcare, drugs and biotechnology,VC,50.974332000000004,2013
EU27,EU27,Healthcare, drugs and biotechnology,VC,42.1262365,2014
EU27,EU27,Healthcare, drugs and biotechnology,VC,72.035415,2015
EU27,EU27,Healthcare, drugs and biotechnology,VC,61.268808,2016
EU27,EU27,Healthcare, drugs and biotechnology,VC,153.072865,2017
EU27,EU27,Healthcare, drugs and biotechnology,VC,175.96465,2018
EU27,EU27,Healthcare, drugs and biotechnology,VC,319.9837365,2019
EU27,EU27,Healthcare, drugs and biotechnology,VC,468.2257955,2020
EU27,EU27,Healthcare, drugs and biotechnology,VC,629.414239,2021
EU27,EU27,Healthcare, drugs and biotechnology,VC,674.7838605000001,2022
EU27,EU27,Healthcare, drugs and biotechnology,VC,701.5167964999999,2023
EU27,EU27,Healthcare, drugs and biotechnology,VC,921.2723665,2024
EU27,EU27,Healthcare, drugs and biotechnology,VC,1107.609975,2025
DEU,Germany,Healthcare, drugs and biotechnology,VC,39.246065,2013
DEU,Germany,Healthcare, drugs and biotechnology,VC,6.776622,2014
DEU,Germany,Healthcare, drugs and biotechnology,VC,32.650014,2015
DEU,Germany,Healthcare, drugs and biotechnology,VC,7.709998,2016
DEU,Germany,Healthcare, drugs and biotechnology,VC,109.94326,2017
DEU,Germany,Healthcare, drugs and biotechnology,VC,36.203903999999994,2018
DEU,Germany,Healthcare, drugs and biotechnology,VC,143.323974,2019
DEU,Germany,Healthcare, drugs and biotechnology,VC,275.96347099999997,2020
DEU,Germany,Healthcare, drugs and biotechnology,VC,319.9797415,2021
DEU,Germany,Healthcare, drugs and biotechnology,VC,140.579046,2022
DEU,Germany,Healthcare, drugs and biotechnology,VC,92.373488,2023
DEU,Germany,Healthcare, drugs and biotechnology,VC,171.9263595,2024
DEU,Germany,Healthcare, drugs and biotechnology,VC,101.081643,2025
CHE,Switzerland,Healthcare, drugs and biotechnology,VC,21.948224,2012
CHE,Switzerland,Healthcare, drugs and biotechnology,VC,11.478174,2013
CHE,Switzerland,Healthcare, drugs and biotechnology,VC,15.7477045,2014
CHE,Switzerland,Healthcare, drugs and biotechnology,VC,46.582268,2015
CHE,Switzerland,Healthcare, drugs and biotechnology,VC,144.9497505,2016
CHE,Switzerland,Healthcare, drugs and biotechnology,VC,63.68658,2017
CHE,Switzerland,Healthcare, drugs and biotechnology,VC,61.5071725,2018
CHE,Switzerland,Healthcare, drugs and biotechnology,VC,125.2486395,2019
CHE,Switzerland,Healthcare, drugs and biotechnology,VC,172.6930735,2020
CHE,Switzerland,Healthcare, drugs and biotechnology,VC,201.1500655,2021
CHE,Switzerland,Healthcare, drugs and biotechnology,VC,229.19146700000002,2022
CHE,Switzerland,Healthcare, drugs and biotechnology,VC,20.1079635,2023
CHE,Switzerland,Healthcare, drugs and biotechnology,VC,181.491481,2024
CHE,Switzerland,Healthcare, drugs and biotechnology,VC,63.702142,2025
FRA,France,Healthcare, drugs and biotechnology,VC,3.529765,2012
FRA,France,Healthcare, drugs and biotechnology,VC,4.680794,2013
FRA,France,Healthcare, drugs and biotechnology,VC,27.686026,2014
FRA,France,Healthcare, drugs and biotechnology,VC,29.596138,2015
FRA,France,Healthcare, drugs and biotechnology,VC,23.604267,2016
FRA,France,Healthcare, drugs and biotechnology,VC,12.078973,2017
FRA,France,Healthcare, drugs and biotechnology,VC,41.705976,2018
FRA,France,Healthcare, drugs and biotechnology,VC,57.68247,2019
FRA,France,Healthcare, drugs and biotechnology,VC,61.281169,2020
FRA,France,Healthcare, drugs and biotechnology,VC,66.62926,2021
FRA,France,Healthcare, drugs and biotechnology,VC,260.293229,2022
FRA,France,Healthcare, drugs and biotechnology,VC,167.0677385,2023
FRA,France,Healthcare, drugs and biotechnology,VC,221.368874,2024
FRA,France,Healthcare, drugs and biotechnology,VC,224.38297,2025
ESP,Spain,Healthcare, drugs and biotechnology,VC,3.876815,2012
ESP,Spain,Healthcare, drugs and biotechnology,VC,2.9772209999999997,2013
ESP,Spain,Healthcare, drugs and biotechnology,VC,1.818486,2014
ESP,Spain,Healthcare, drugs and biotechnology,VC,2.512312,2015
ESP,Spain,Healthcare, drugs and biotechnology,VC,5.3254935,2016
ESP,Spain,Healthcare, drugs and biotechnology,VC,53.212779,2018
ESP,Spain,Healthcare, drugs and biotechnology,VC,12.4339195,2019
ESP,Spain,Healthcare, drugs and biotechnology,VC,53.7812695,2020
ESP,Spain,Healthcare, drugs and biotechnology,VC,31.240428,2021
ESP,Spain,Healthcare, drugs and biotechnology,VC,82.209103,2022
ESP,Spain,Healthcare, drugs and biotechnology,VC,99.78894100000001,2023
ESP,Spain,Healthcare, drugs and biotechnology,VC,29.308635,2024
ESP,Spain,Healthcare, drugs and biotechnology,VC,129.87285500000002,2025
SWE,Sweden,Healthcare, drugs and biotechnology,VC,0.767722,2014
SWE,Sweden,Healthcare, drugs and biotechnology,VC,0.521928,2015
SWE,Sweden,Healthcare, drugs and biotechnology,VC,1.427129,2016
SWE,Sweden,Healthcare, drugs and biotechnology,VC,14.612416,2017
SWE,Sweden,Healthcare, drugs and biotechnology,VC,1.344681,2018
SWE,Sweden,Healthcare, drugs and biotechnology,VC,6.606917999999999,2019
SWE,Sweden,Healthcare, drugs and biotechnology,VC,3.0741815,2020
SWE,Sweden,Healthcare, drugs and biotechnology,VC,19.955024,2021
SWE,Sweden,Healthcare, drugs and biotechnology,VC,8.429219,2022
SWE,Sweden,Healthcare, drugs and biotechnology,VC,63.657686,2023
SWE,Sweden,Healthcare, drugs and biotechnology,VC,18.933722,2024
SWE,Sweden,Healthcare, drugs and biotechnology,VC,324.23960550000004,2025
DNK,Denmark,Healthcare, drugs and biotechnology,VC,3,2013
DNK,Denmark,Healthcare, drugs and biotechnology,VC,2.6101375,2014
DNK,Denmark,Healthcare, drugs and biotechnology,VC,1.015209,2015
DNK,Denmark,Healthcare, drugs and biotechnology,VC,4.485324,2016
DNK,Denmark,Healthcare, drugs and biotechnology,VC,0.900085,2017
DNK,Denmark,Healthcare, drugs and biotechnology,VC,4.388252,2018
DNK,Denmark,Healthcare, drugs and biotechnology,VC,19.474332,2019
DNK,Denmark,Healthcare, drugs and biotechnology,VC,17.294529999999998,2020
DNK,Denmark,Healthcare, drugs and biotechnology,VC,27,2021
DNK,Denmark,Healthcare, drugs and biotechnology,VC,15.952819,2022
DNK,Denmark,Healthcare, drugs and biotechnology,VC,129.546627,2023
DNK,Denmark,Healthcare, drugs and biotechnology,VC,82.712343,2024
DNK,Denmark,Healthcare, drugs and biotechnology,VC,128.273761,2025
FIN,Finland,Healthcare, drugs and biotechnology,VC,0.235508,2013
FIN,Finland,Healthcare, drugs and biotechnology,VC,0.467243,2014
FIN,Finland,Healthcare, drugs and biotechnology,VC,0.65,2015
FIN,Finland,Healthcare, drugs and biotechnology,VC,12.932325500000001,2016
FIN,Finland,Healthcare, drugs and biotechnology,VC,0.622971,2017
FIN,Finland,Healthcare, drugs and biotechnology,VC,16.133419,2018
FIN,Finland,Healthcare, drugs and biotechnology,VC,21.386111,2019
FIN,Finland,Healthcare, drugs and biotechnology,VC,28.665025,2020
FIN,Finland,Healthcare, drugs and biotechnology,VC,104.751298,2021
FIN,Finland,Healthcare, drugs and biotechnology,VC,7.365677,2022
FIN,Finland,Healthcare, drugs and biotechnology,VC,2,2023
FIN,Finland,Healthcare, drugs and biotechnology,VC,200,2024
NLD,Netherlands,Healthcare, drugs and biotechnology,VC,0.19492,2012
NLD,Netherlands,Healthcare, drugs and biotechnology,VC,3.4,2015
NLD,Netherlands,Healthcare, drugs and biotechnology,VC,2.500652,2017
NLD,Netherlands,Healthcare, drugs and biotechnology,VC,9.59009,2018
NLD,Netherlands,Healthcare, drugs and biotechnology,VC,47.265296,2019
NLD,Netherlands,Healthcare, drugs and biotechnology,VC,2.0320245,2020
NLD,Netherlands,Healthcare, drugs and biotechnology,VC,28,2021
NLD,Netherlands,Healthcare, drugs and biotechnology,VC,12.592229,2022
NLD,Netherlands,Healthcare, drugs and biotechnology,VC,53.036159999999995,2023
NLD,Netherlands,Healthcare, drugs and biotechnology,VC,123.35958,2024
NLD,Netherlands,Healthcare, drugs and biotechnology,VC,23.173885,2025
BEL,Belgium,Healthcare, drugs and biotechnology,VC,0,2014
BEL,Belgium,Healthcare, drugs and biotechnology,VC,1.689814,2015
BEL,Belgium,Healthcare, drugs and biotechnology,VC,0.250017,2016
BEL,Belgium,Healthcare, drugs and biotechnology,VC,7.12801,2017
BEL,Belgium,Healthcare, drugs and biotechnology,VC,0.7402690000000001,2018
BEL,Belgium,Healthcare, drugs and biotechnology,VC,6.963291,2019
BEL,Belgium,Healthcare, drugs and biotechnology,VC,3.3548050000000003,2020
BEL,Belgium,Healthcare, drugs and biotechnology,VC,1.428588,2021
BEL,Belgium,Healthcare, drugs and biotechnology,VC,36.4063625,2022
BEL,Belgium,Healthcare, drugs and biotechnology,VC,2.2150790000000002,2023
BEL,Belgium,Healthcare, drugs and biotechnology,VC,10.608568,2024
BEL,Belgium,Healthcare, drugs and biotechnology,VC,38.3234515,2025
AUT,Austria,Healthcare, drugs and biotechnology,VC,0.9609895,2019
AUT,Austria,Healthcare, drugs and biotechnology,VC,7.223349,2020
AUT,Austria,Healthcare, drugs and biotechnology,VC,2.446698,2021
AUT,Austria,Healthcare, drugs and biotechnology,VC,39.871944,2022
AUT,Austria,Healthcare, drugs and biotechnology,VC,13.505291,2023
AUT,Austria,Healthcare, drugs and biotechnology,VC,10.100473000000001,2024
AUT,Austria,Healthcare, drugs and biotechnology,VC,20.051025,2025
ITA,Italy,Healthcare, drugs and biotechnology,VC,2,2014
ITA,Italy,Healthcare, drugs and biotechnology,VC,4.462061,2016
ITA,Italy,Healthcare, drugs and biotechnology,VC,5,2017
ITA,Italy,Healthcare, drugs and biotechnology,VC,1.571785,2019
ITA,Italy,Healthcare, drugs and biotechnology,VC,6.589826499999999,2021
ITA,Italy,Healthcare, drugs and biotechnology,VC,44.26617,2022
ITA,Italy,Healthcare, drugs and biotechnology,VC,4.808412000000001,2023
ITA,Italy,Healthcare, drugs and biotechnology,VC,7.204105,2024
ITA,Italy,Healthcare, drugs and biotechnology,VC,12.574617,2025
SVN,Slovenia,Healthcare, drugs and biotechnology,VC,11.94361,2018
SVN,Slovenia,Healthcare, drugs and biotechnology,VC,39.869527,2023
POL,Poland,Healthcare, drugs and biotechnology,VC,0.697676,2019
POL,Poland,Healthcare, drugs and biotechnology,VC,2.776665,2020
POL,Poland,Healthcare, drugs and biotechnology,VC,12.608001,2021
POL,Poland,Healthcare, drugs and biotechnology,VC,5.7192705,2022
POL,Poland,Healthcare, drugs and biotechnology,VC,2.4447,2023
POL,Poland,Healthcare, drugs and biotechnology,VC,3.245237,2024
POL,Poland,Healthcare, drugs and biotechnology,VC,9.668126,2025
GRC,Greece,Healthcare, drugs and biotechnology,VC,0.314568,2023
GRC,Greece,Healthcare, drugs and biotechnology,VC,33.913938,2025
IRL,Ireland,Healthcare, drugs and biotechnology,VC,0.654626,2016
IRL,Ireland,Healthcare, drugs and biotechnology,VC,0.416618,2018
IRL,Ireland,Healthcare, drugs and biotechnology,VC,0.567793,2020
IRL,Ireland,Healthcare, drugs and biotechnology,VC,4.1983265,2021
IRL,Ireland,Healthcare, drugs and biotechnology,VC,5.1827325,2022
IRL,Ireland,Healthcare, drugs and biotechnology,VC,10.3675255,2023
IRL,Ireland,Healthcare, drugs and biotechnology,VC,2.274529,2024
IRL,Ireland,Healthcare, drugs and biotechnology,VC,4.3,2025
PRT,Portugal,Healthcare, drugs and biotechnology,VC,0.834744,2013
PRT,Portugal,Healthcare, drugs and biotechnology,VC,0.417567,2016
PRT,Portugal,Healthcare, drugs and biotechnology,VC,0.13,2018
PRT,Portugal,Healthcare, drugs and biotechnology,VC,1.5025754999999998,2019
PRT,Portugal,Healthcare, drugs and biotechnology,VC,0.15,2020
PRT,Portugal,Healthcare, drugs and biotechnology,VC,4.0144305,2021
PRT,Portugal,Healthcare, drugs and biotechnology,VC,9.192001,2022
PRT,Portugal,Healthcare, drugs and biotechnology,VC,11.035407500000002,2023
TUR,Türkiye,Healthcare, drugs and biotechnology,VC,0,2016
TUR,Türkiye,Healthcare, drugs and biotechnology,VC,0.546031,2017
TUR,Türkiye,Healthcare, drugs and biotechnology,VC,0.18,2018
TUR,Türkiye,Healthcare, drugs and biotechnology,VC,2.6112070000000003,2019
TUR,Türkiye,Healthcare, drugs and biotechnology,VC,15.868587,2020
TUR,Türkiye,Healthcare, drugs and biotechnology,VC,5.15,2021
RUS,Russia,Healthcare, drugs and biotechnology,VC,0.06,2015
RUS,Russia,Healthcare, drugs and biotechnology,VC,0.589477,2017
RUS,Russia,Healthcare, drugs and biotechnology,VC,5.073641,2019
RUS,Russia,Healthcare, drugs and biotechnology,VC,6.676327000000001,2020
RUS,Russia,Healthcare, drugs and biotechnology,VC,4.124826,2021
RUS,Russia,Healthcare, drugs and biotechnology,VC,4.816366,2022
BGR,Bulgaria,Healthcare, drugs and biotechnology,VC,4.425103,2020
BGR,Bulgaria,Healthcare, drugs and biotechnology,VC,2.463234,2022
BGR,Bulgaria,Healthcare, drugs and biotechnology,VC,2.657944,2023
BGR,Bulgaria,Healthcare, drugs and biotechnology,VC,8.666301,2024
BGR,Bulgaria,Healthcare, drugs and biotechnology,VC,2.182699,2025
LTU,Lithuania,Healthcare, drugs and biotechnology,VC,0.572617,2021
LTU,Lithuania,Healthcare, drugs and biotechnology,VC,11.212355,2024
LTU,Lithuania,Healthcare, drugs and biotechnology,VC,1.682194,2025
NOR,Norway,Healthcare, drugs and biotechnology,VC,2.4088070000000004,2018
NOR,Norway,Healthcare, drugs and biotechnology,VC,1.173359,2019
NOR,Norway,Healthcare, drugs and biotechnology,VC,7.490395,2020
NOR,Norway,Healthcare, drugs and biotechnology,VC,2.153913,2024
ROU,Romania,Healthcare, drugs and biotechnology,VC,0.114399,2019
ROU,Romania,Healthcare, drugs and biotechnology,VC,0.343524,2020
ROU,Romania,Healthcare, drugs and biotechnology,VC,1.735617,2022
ROU,Romania,Healthcare, drugs and biotechnology,VC,5.409732,2024
ROU,Romania,Healthcare, drugs and biotechnology,VC,4.318779,2025
CZE,Czech Republic,Healthcare, drugs and biotechnology,VC,2.1381229999999998,2020
CZE,Czech Republic,Healthcare, drugs and biotechnology,VC,0.386418,2022
CZE,Czech Republic,Healthcare, drugs and biotechnology,VC,3.197867,2023
CZE,Czech Republic,Healthcare, drugs and biotechnology,VC,2.4080830000000004,2024
EST,Estonia,Healthcare, drugs and biotechnology,VC,0.5,2020
EST,Estonia,Healthcare, drugs and biotechnology,VC,2.138789,2022
EST,Estonia,Healthcare, drugs and biotechnology,VC,2.154583,2023
EST,Estonia,Healthcare, drugs and biotechnology,VC,0.6711,2024
LUX,Luxembourg,Healthcare, drugs and biotechnology,VC,1.057264,2023
LUX,Luxembourg,Healthcare, drugs and biotechnology,VC,2.154918,2025
HUN,Hungary,Healthcare, drugs and biotechnology,VC,0.286498,2017
HUN,Hungary,Healthcare, drugs and biotechnology,VC,0.155052,2018
HUN,Hungary,Healthcare, drugs and biotechnology,VC,0.417988,2023
