Country,Country_label,INDUSTRY,STAGE,Sum_of_deals,Year
EU27,EU27,Logistics, wholesale and retail,VC,0,2013
EU27,EU27,Logistics, wholesale and retail,VC,41.597811,2015
EU27,EU27,Logistics, wholesale and retail,VC,54.5542175,2016
EU27,EU27,Logistics, wholesale and retail,VC,24.154924,2017
EU27,EU27,Logistics, wholesale and retail,VC,42.0337575,2018
EU27,EU27,Logistics, wholesale and retail,VC,85.040418,2019
EU27,EU27,Logistics, wholesale and retail,VC,243.4887685,2020
EU27,EU27,Logistics, wholesale and retail,VC,471.89784349999996,2021
EU27,EU27,Logistics, wholesale and retail,VC,1364.472736,2022
EU27,EU27,Logistics, wholesale and retail,VC,123.1628325,2023
EU27,EU27,Logistics, wholesale and retail,VC,96.123254,2024
EU27,EU27,Logistics, wholesale and retail,VC,113.75088650000001,2025
DEU,Germany,Logistics, wholesale and retail,VC,0,2013
DEU,Germany,Logistics, wholesale and retail,VC,34.561381,2015
DEU,Germany,Logistics, wholesale and retail,VC,21.9211275,2016
DEU,Germany,Logistics, wholesale and retail,VC,20,2017
DEU,Germany,Logistics, wholesale and retail,VC,8.208650500000001,2018
DEU,Germany,Logistics, wholesale and retail,VC,30,2019
DEU,Germany,Logistics, wholesale and retail,VC,132.725686,2020
DEU,Germany,Logistics, wholesale and retail,VC,253.59669000000002,2021
DEU,Germany,Logistics, wholesale and retail,VC,266.758437,2022
DEU,Germany,Logistics, wholesale and retail,VC,72.575814,2023
DEU,Germany,Logistics, wholesale and retail,VC,41.468987999999996,2024
DEU,Germany,Logistics, wholesale and retail,VC,29.048767,2025
FRA,France,Logistics, wholesale and retail,VC,5.627986,2015
FRA,France,Logistics, wholesale and retail,VC,32.59978,2016
FRA,France,Logistics, wholesale and retail,VC,25.705230999999998,2018
FRA,France,Logistics, wholesale and retail,VC,5.272432,2019
FRA,France,Logistics, wholesale and retail,VC,96.30101799999998,2020
FRA,France,Logistics, wholesale and retail,VC,34.653211999999996,2021
FRA,France,Logistics, wholesale and retail,VC,506.267916,2022
FRA,France,Logistics, wholesale and retail,VC,29.917943,2023
FRA,France,Logistics, wholesale and retail,VC,11.341887,2024
FRA,France,Logistics, wholesale and retail,VC,38.6885495,2025
SWE,Sweden,Logistics, wholesale and retail,VC,3.223055,2017
SWE,Sweden,Logistics, wholesale and retail,VC,6.0606610000000005,2018
SWE,Sweden,Logistics, wholesale and retail,VC,27.283492,2019
SWE,Sweden,Logistics, wholesale and retail,VC,10,2020
SWE,Sweden,Logistics, wholesale and retail,VC,133.687031,2021
SWE,Sweden,Logistics, wholesale and retail,VC,507.65360699999997,2022
SWE,Sweden,Logistics, wholesale and retail,VC,27.152299,2024
SWE,Sweden,Logistics, wholesale and retail,VC,2.148197,2025
GBR,United Kingdom,Logistics, wholesale and retail,VC,0.5211245,2013
GBR,United Kingdom,Logistics, wholesale and retail,VC,12.15,2014
