AI_engineering_skills_penetration_factor,Country,Country_label,Industry
1.21742,FR,France,Education
1.09068,GB,United Kingdom,Education
1.07973,DE,Germany,Education
1.01223,ES,Spain,Education
0.90662,TR,Türkiye,Education
0.86474,CH,Switzerland,Education
0.70776,IT,Italy,Education
0.67867,NL,Netherlands,Education
0.64064,PL,Poland,Education
0.63672,AT,Austria,Education
0.59321,SE,Sweden,Education
0.59017,PT,Portugal,Education
0.57694,DK,Denmark,Education
0.56649,FI,Finland,Education
0.54823,RO,Romania,Education
0.54399,IE,Ireland,Education
0.52158,GR,Greece,Education
0.49054,HU,Hungary,Education
0.46845,NO,Norway,Education
0.45424,BE,Belgium,Education
0.36175,CZ,Czech Republic,Education
