AI_engineering_skills_penetration_factor,Country,Country_label,Industry
1.16051,FR,France,Financial services
1.05743,GB,United Kingdom,Financial services
0.97707,DE,Germany,Financial services
0.80375,NL,Netherlands,Financial services
0.77046,CH,Switzerland,Financial services
0.73538,PL,Poland,Financial services
0.72797,ES,Spain,Financial services
0.70939,TR,Türkiye,Financial services
0.69189,IT,Italy,Financial services
0.57221,IE,Ireland,Financial services
0.54201,PT,Portugal,Financial services
0.45325,DK,Denmark,Financial services
0.44765,SE,Sweden,Financial services
0.43365,GR,Greece,Financial services
0.40167,BE,Belgium,Financial services
0.36096,NO,Norway,Financial services
0.31084,AT,Austria,Financial services
0.25097,FI,Finland,Financial services
