AI_engineering_skills_penetration_factor,Country,Country_label,Industry
1.34492,DE,Germany,Manufacturing
1.09343,FR,France,Manufacturing
0.97002,GB,United Kingdom,Manufacturing
0.91204,TR,Türkiye,Manufacturing
0.86755,ES,Spain,Manufacturing
0.84671,NL,Netherlands,Manufacturing
0.80064,IT,Italy,Manufacturing
0.79984,SE,Sweden,Manufacturing
0.74718,PL,Poland,Manufacturing
0.64757,CH,Switzerland,Manufacturing
0.62913,HU,Hungary,Manufacturing
0.60725,RO,Romania,Manufacturing
0.57365,IE,Ireland,Manufacturing
0.51167,AT,Austria,Manufacturing
0.50346,DK,Denmark,Manufacturing
0.49673,PT,Portugal,Manufacturing
0.49601,FI,Finland,Manufacturing
0.45332,CZ,Czech Republic,Manufacturing
0.43701,BE,Belgium,Manufacturing
0.33568,GR,Greece,Manufacturing
0.31309,NO,Norway,Manufacturing
