AI_engineering_skills_penetration_factor,Country,Country_label,Industry
1.34309,DE,Germany,Professional services
1.23972,FR,France,Professional services
1.23009,GB,United Kingdom,Professional services
1.20686,ES,Spain,Professional services
1.01628,IT,Italy,Professional services
0.97808,NL,Netherlands,Professional services
0.79876,TR,Türkiye,Professional services
0.76315,CH,Switzerland,Professional services
0.75661,PL,Poland,Professional services
0.7363,GR,Greece,Professional services
0.68875,SE,Sweden,Professional services
0.66938,PT,Portugal,Professional services
0.65777,BE,Belgium,Professional services
0.61558,DK,Denmark,Professional services
0.60214,FI,Finland,Professional services
0.55295,RO,Romania,Professional services
0.54756,AT,Austria,Professional services
0.51471,IE,Ireland,Professional services
0.46154,HU,Hungary,Professional services
0.45583,CZ,Czech Republic,Professional services
0.40613,NO,Norway,Professional services
0.34976,HR,Croatia,Professional services
0.27937,LT,Lithuania,Professional services
0.25466,SI,Slovenia,Professional services
0.18203,EE,Estonia,Professional services
0.13143,LU,Luxembourg,Professional services
