AI_engineering_skills_penetration_factor,Country,Country_label,Industry
1.12877,DE,Germany,Technology, information and media
1.10124,GB,United Kingdom,Technology, information and media
1.0662,FR,France,Technology, information and media
0.94351,TR,Türkiye,Technology, information and media
0.90003,ES,Spain,Technology, information and media
0.81927,NL,Netherlands,Technology, information and media
0.78612,PL,Poland,Technology, information and media
0.73509,IT,Italy,Technology, information and media
0.65522,IE,Ireland,Technology, information and media
0.65411,SE,Sweden,Technology, information and media
0.64894,CH,Switzerland,Technology, information and media
0.61116,PT,Portugal,Technology, information and media
0.59315,RO,Romania,Technology, information and media
0.59175,FI,Finland,Technology, information and media
0.55634,GR,Greece,Technology, information and media
0.52271,CZ,Czech Republic,Technology, information and media
0.52086,BE,Belgium,Technology, information and media
0.51954,DK,Denmark,Technology, information and media
0.51261,HU,Hungary,Technology, information and media
0.47732,AT,Austria,Technology, information and media
0.45477,NO,Norway,Technology, information and media
0.29788,EE,Estonia,Technology, information and media
0.29266,HR,Croatia,Technology, information and media
0.28792,LU,Luxembourg,Technology, information and media
0.27527,LT,Lithuania,Technology, information and media
