contains_ai,Country/territory,Country/territory_label,impact_level,l0_concept,pub_type,publications,year
AI related,ALL,-- All countries --,All works,Mathematics,All publication types,1411,2000
AI related,ALL,-- All countries --,All works,Mathematics,All publication types,1379,2001
AI related,ALL,-- All countries --,All works,Mathematics,All publication types,5465,2002
AI related,ALL,-- All countries --,All works,Mathematics,All publication types,3252,2003
AI related,ALL,-- All countries --,All works,Mathematics,All publication types,2700,2004
AI related,ALL,-- All countries --,All works,Mathematics,All publication types,3600,2005
AI related,ALL,-- All countries --,All works,Mathematics,All publication types,3838,2006
AI related,ALL,-- All countries --,All works,Mathematics,All publication types,3905,2007
AI related,ALL,-- All countries --,All works,Mathematics,All publication types,4300,2008
AI related,ALL,-- All countries --,All works,Mathematics,All publication types,4287,2009
AI related,ALL,-- All countries --,All works,Mathematics,All publication types,4691,2010
AI related,ALL,-- All countries --,All works,Mathematics,All publication types,4536,2011
AI related,ALL,-- All countries --,All works,Mathematics,All publication types,4466,2012
AI related,ALL,-- All countries --,All works,Mathematics,All publication types,4532,2013
AI related,ALL,-- All countries --,All works,Mathematics,All publication types,4482,2014
AI related,ALL,-- All countries --,All works,Mathematics,All publication types,4361,2015
AI related,ALL,-- All countries --,All works,Mathematics,All publication types,4394,2016
AI related,ALL,-- All countries --,All works,Mathematics,All publication types,4808,2017
AI related,ALL,-- All countries --,All works,Mathematics,All publication types,5775,2018
AI related,ALL,-- All countries --,All works,Mathematics,All publication types,6805,2019
AI related,ALL,-- All countries --,All works,Mathematics,All publication types,7762,2020
AI related,ALL,-- All countries --,All works,Mathematics,All publication types,8343,2021
AI related,ALL,-- All countries --,All works,Mathematics,All publication types,7084,2022
AI related,ALL,-- All countries --,All works,Mathematics,All publication types,7197,2023
AI related,ALL,-- All countries --,All works,Mathematics,All publication types,4139,2024
AI related,ALL,-- All countries --,All works,Mathematics,All publication types,1698,2025
AI related,ALL,-- All countries --,All works,Engineering,All publication types,353,2000
AI related,ALL,-- All countries --,All works,Engineering,All publication types,342,2001
AI related,ALL,-- All countries --,All works,Engineering,All publication types,1992,2002
AI related,ALL,-- All countries --,All works,Engineering,All publication types,1088,2003
AI related,ALL,-- All countries --,All works,Engineering,All publication types,886,2004
AI related,ALL,-- All countries --,All works,Engineering,All publication types,1335,2005
AI related,ALL,-- All countries --,All works,Engineering,All publication types,1448,2006
AI related,ALL,-- All countries --,All works,Engineering,All publication types,1465,2007
AI related,ALL,-- All countries --,All works,Engineering,All publication types,1628,2008
AI related,ALL,-- All countries --,All works,Engineering,All publication types,1721,2009
AI related,ALL,-- All countries --,All works,Engineering,All publication types,1870,2010
AI related,ALL,-- All countries --,All works,Engineering,All publication types,1925,2011
AI related,ALL,-- All countries --,All works,Engineering,All publication types,1853,2012
AI related,ALL,-- All countries --,All works,Engineering,All publication types,1785,2013
AI related,ALL,-- All countries --,All works,Engineering,All publication types,1622,2014
AI related,ALL,-- All countries --,All works,Engineering,All publication types,1393,2015
AI related,ALL,-- All countries --,All works,Engineering,All publication types,1332,2016
AI related,ALL,-- All countries --,All works,Engineering,All publication types,1411,2017
AI related,ALL,-- All countries --,All works,Engineering,All publication types,1783,2018
AI related,ALL,-- All countries --,All works,Engineering,All publication types,2273,2019
AI related,ALL,-- All countries --,All works,Engineering,All publication types,2648,2020
AI related,ALL,-- All countries --,All works,Engineering,All publication types,3227,2021
AI related,ALL,-- All countries --,All works,Engineering,All publication types,3027,2022
AI related,ALL,-- All countries --,All works,Engineering,All publication types,3253,2023
AI related,ALL,-- All countries --,All works,Engineering,All publication types,2277,2024
AI related,ALL,-- All countries --,All works,Engineering,All publication types,1057,2025
AI related,ALL,-- All countries --,All works,Psychology,All publication types,349,2000
AI related,ALL,-- All countries --,All works,Psychology,All publication types,343,2001
AI related,ALL,-- All countries --,All works,Psychology,All publication types,504,2002
AI related,ALL,-- All countries --,All works,Psychology,All publication types,479,2003
AI related,ALL,-- All countries --,All works,Psychology,All publication types,575,2004
AI related,ALL,-- All countries --,All works,Psychology,All publication types,692,2005
AI related,ALL,-- All countries --,All works,Psychology,All publication types,799,2006
AI related,ALL,-- All countries --,All works,Psychology,All publication types,850,2007
AI related,ALL,-- All countries --,All works,Psychology,All publication types,890,2008
