Date,Country,AI_projects_fractional_count_based_on_contributions
2011,CAN,0.03650361239622641
2012,CAN,0.08660512851985559
2013,CAN,0.05550302227926078
2014,CAN,0.054080971370328426
2015,CAN,0.04754796609838275
2016,CAN,0.040344158090185676
2017,CAN,0.04561139904103128
2018,CAN,0.037513460088945356
2019,CAN,0.039085284448558584
2020,CAN,0.04170463719669242
2021,CAN,0.037193904030479244
2022,CAN,0.023384701018457483
2023,CAN,0.025043433790737566
2011,CHN,0.018894742748427673
2012,CHN,0.025350410963898916
2013,CHN,0.04469988989733059
2014,CHN,0.06561265330690827
2015,CHN,0.06864310424528301
2016,CHN,0.087630124867374
2017,CHN,0.11034521021851909
2018,CHN,0.11990480592121981
2019,CHN,0.11100247614387727
2020,CHN,0.07749438492612173
2021,CHN,0.1057127132544616
2022,CHN,0.11125212036914962
2023,CHN,0.10525632744425388
2011,DEU,0.09386288339622641
2012,DEU,0.06643161169675091
2013,DEU,0.061507689014373715
2014,DEU,0.05375448101925255
2015,DEU,0.05841964400943397
2016,DEU,0.062242567805039783
2017,DEU,0.0591645101870775
2018,DEU,0.05291967453621347
2019,DEU,0.056881305329277966
2020,DEU,0.055753771695811305
2021,DEU,0.055994402205734914
2022,DEU,0.05191753263019117
2023,DEU,0.044434883910806175
2011,ESP,0.01219377059119497
2012,ESP,0.021652706989169677
2013,ESP,0.02766731616016427
2014,ESP,0.02700579959229898
2015,ESP,0.026620391846361183
2016,ESP,0.02375149502984085
2017,ESP,0.016570604700518785
2018,ESP,0.015598788983481576
2019,ESP,0.017214425310764347
2020,ESP,0.01612222105191812
2021,ESP,0.01500351986364548
2022,ESP,0.016049877247857613
2023,ESP,0.0172682554488279
2011,EU27,0.2617222254716981
2012,EU27,0.2683697196389892
2013,EU27,0.2507874595482546
2014,EU27,0.22389968493771234
2015,EU27,0.23014100808625335
2016,EU27,0.21334776624668436
2017,EU27,0.18568377314887596
2018,EU27,0.17275597217280814
2019,EU27,0.18266261121396457
2020,EU27,0.1896844781076318
2021,EU27,0.1846383213154201
2022,EU27,0.18264865342781805
2023,EU27,0.18287236838193255
2011,FRA,0.03447150841509434
2012,FRA,0.03388722253429603
2013,FRA,0.03439853016427105
2014,FRA,0.03269541404303511
2015,FRA,0.03475721510107817
2016,FRA,0.030652339406498672
2017,FRA,0.02675246847979877
2018,FRA,0.028843349631512073
2019,FRA,0.029540870722031206
2020,FRA,0.02485514253761692
2021,FRA,0.026904684239021454
2022,FRA,0.026612686466710615
2023,FRA,0.028216697724413955
2011,GBR,0.061480940459119504
2012,GBR,0.06244526108303249
2013,GBR,0.0843394685010267
2014,GBR,0.08087256986409966
2015,GBR,0.08370356563342318
2016,GBR,0.0724850000331565
2017,GBR,0.0670141079390033
2018,GBR,0.0687348468360864
2019,GBR,0.07129241157101296
2020,GBR,0.06213285027789074
2021,GBR,0.0625000632845398
2022,GBR,0.05559281058009229
2023,GBR,0.05064412426529446
2011,IND,0.006430427465408804
2012,IND,0.00809727902166065
2013,IND,0.012607865176591376
2014,IND,0.02399864027180068
2015,IND,0.02415922799865229
2016,IND,0.04365373328912467
2017,IND,0.0700352466436095
2018,IND,0.10018460500635325
2019,IND,0.11230193901084369
2020,IND,0.15716075559170395
2021,IND,0.1382075724283136
2022,IND,0.12462772504943968
2023,IND,0.11698915151515153
2011,JPN,0.0763961293081761
2012,JPN,0.05175403465703971
2013,JPN,0.0367532860164271
2014,JPN,0.038548192253680634
2015,JPN,0.03694533311320755
2016,JPN,0.03116407374668435
2017,JPN,0.030728449944977206
2018,JPN,0.025369230597204577
2019,JPN,0.023751291272150227
2020,JPN,0.016594133319777687
2021,JPN,0.016037482851413674
2022,JPN,0.016252499347396178
2023,JPN,0.02061201201829617
2011,USA,0.39788858490566037
2012,USA,0.3410803220938628
2013,USA,0.3358451297741273
2014,USA,0.3300401944507361
2015,USA,0.3207357328167116
2016,USA,0.32607338126657825
2017,USA,0.28594726458104075
2018,USA,0.27016431105463784
2019,USA,0.24545783496429516
2020,USA,0.23068557353937916
2021,USA,0.21349895969520752
2022,USA,0.22292087893869478
2023,USA,0.228404737507147
