Date,Country,AI_projects_fractional_count_based_on_contributions
2011,BRA,0.017983542639344263
2012,BRA,0.02189381387848101
2013,BRA,0.01129536381170886
2014,BRA,0.021718418231597845
2015,BRA,0.020778684516455696
2016,BRA,0.024752979497018407
2017,BRA,0.020551024501690173
2018,BRA,0.025071346125260584
2019,BRA,0.02081614510729614
2020,BRA,0.027782044516027653
2021,BRA,0.02662638149165849
2022,BRA,0.027435181361024033
2023,BRA,0.01925341447549441
2011,CAN,0.05520318422131148
2012,CAN,0.0857103173164557
2013,CAN,0.061736477025316455
2014,CAN,0.044086537199281864
2015,CAN,0.04825733819240507
2016,CAN,0.04200987376199118
2017,CAN,0.04782049606014687
2018,CAN,0.04330505206199583
2019,CAN,0.042007749759656654
2020,CAN,0.04187467473287241
2021,CAN,0.03755343492639843
2022,CAN,0.030743572413793104
2023,CAN,0.028646109866723994
2011,CHN,0.023241519524590165
2012,CHN,0.027893966202531643
2013,CHN,0.04100005626582279
2014,CHN,0.06275345060143626
2015,CHN,0.059120300405063296
2016,CHN,0.08121706551724138
2017,CHN,0.10539015333955007
2018,CHN,0.11001268403879272
2019,CHN,0.10430017854077253
2020,CHN,0.072486447305154
2021,CHN,0.08672878634936211
2022,CHN,0.10245172865726228
2023,CHN,0.09809353650042991
2011,DEU,0.07588985213114754
2012,DEU,0.06313760093670887
2013,DEU,0.05205232719936709
2014,DEU,0.06434992817773788
2015,DEU,0.05816000678481013
2016,DEU,0.06402350119263676
2017,DEU,0.06080351890663247
2018,DEU,0.05560993055379317
2019,DEU,0.05910795344206009
2020,DEU,0.05912047562853551
2021,DEU,0.0633330856329735
2022,DEU,0.061202024150992684
2023,DEU,0.06124360313843508
2011,EU27,0.2788256222540984
2012,EU27,0.28638239898734175
2013,EU27,0.2682934397151899
2014,EU27,0.22820291481149013
2015,EU27,0.2281420830886076
2016,EU27,0.2235964187710656
2017,EU27,0.19551210991957105
2018,EU27,0.1770886863047222
2019,EU27,0.1977674512446352
2020,EU27,0.20894772855122562
2021,EU27,0.21433202737978407
2022,EU27,0.2129545489811912
2023,EU27,0.21057610561049014
2011,FRA,0.0751051168032787
2012,FRA,0.034740165898734174
2013,FRA,0.03626472678797468
2014,FRA,0.03245428307001796
2015,FRA,0.03438065946835443
2016,FRA,0.030953771402644544
2017,FRA,0.029800443921202936
2018,FRA,0.026304682180730538
2019,FRA,0.02838797949356223
2020,FRA,0.03094357099308611
2021,FRA,0.03483456977428852
2022,FRA,0.03358851317920585
2023,FRA,0.032623827858985384
2011,GBR,0.08439146737704918
2012,GBR,0.06034171941772152
2013,GBR,0.07090894248417721
2014,GBR,0.08712898132854578
2015,GBR,0.07987384156962025
2016,GBR,0.07583463176043556
2017,GBR,0.06308927899522088
2018,GBR,0.06833773000090637
2019,GBR,0.06680979031759657
2020,GBR,0.059618174465744814
2021,GBR,0.061649719793915606
2022,GBR,0.0561473671630094
2023,GBR,0.05446936496130697
2011,IND,0.004190319536885245
2012,IND,0.004962324488607595
2013,IND,0.014146911759493671
2014,IND,0.020082322280071813
2015,IND,0.026630364744303796
2016,IND,0.0398583911848587
2017,IND,0.06546502686793333
2018,IND,0.09405199428985771
2019,IND,0.10996330326180256
2020,IND,0.14810874104336896
2021,IND,0.12477206830225712
2022,IND,0.10397263931556948
2023,IND,0.09426426423043852
2011,JPN,0.06752879327868853
2012,JPN,0.030169246759493673
2013,JPN,0.04426682254746835
2014,JPN,0.05107567441651706
2015,JPN,0.04748916651139241
2016,JPN,0.03677443725693544
2017,JPN,0.034134091059564046
2018,JPN,0.02900388633191335
2019,JPN,0.028438645682403434
2020,JPN,0.020762139479886865
2021,JPN,0.02015854876349362
2022,JPN,0.01987551041013584
2023,JPN,0.018650546984092863
2011,USA,0.36826548618852456
2012,USA,0.3584897240506329
2013,USA,0.35302844145569623
2014,USA,0.32224275547576303
2015,USA,0.3265151979240506
2016,USA,0.31096032278973296
2017,USA,0.2802418915957571
2018,USA,0.2628032073778664
2019,USA,0.22989891442060087
2020,USA,0.21143586596480202
2021,USA,0.19149820058881256
2022,USA,0.19741453265412748
2023,USA,0.21596764294926915
